method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_learned_lite,17,warehouse_small_kiva,abrupt,4653,2.3265,1,9,25,0,0.026869854000000006,83.81652500799999,168.71985623519868
exact_even_B25,17,warehouse_small_kiva,abrupt,4661,2.3305,1,25,25,0,0.30827777100000003,84.469029571,178.39617983158678
context_learned_lite,17,warehouse_small_kiva,stationary,4600,2.3,1,10,25,0,0.019359887000000003,87.89345419600001,171.8902588346973
exact_even_B25,17,warehouse_small_kiva,stationary,4567,2.2835,1,25,25,0,0.6671276850000001,88.790735025,174.29611683543772
context_learned_lite,18,warehouse_small_kiva,abrupt,4597,2.2985,1,9,25,0,0.09722499500000002,82.07521610699995,181.7465037126094
exact_even_B25,18,warehouse_small_kiva,abrupt,4604,2.302,1,25,25,0,0.40977949199999997,84.06488635200003,179.99385420326144
context_learned_lite,18,warehouse_small_kiva,stationary,4568,2.284,1,7,25,0,0.016728416000000003,88.648869575,174.41206699050963
exact_even_B25,18,warehouse_small_kiva,stationary,4403,2.2015,1,25,25,0,0.467121994,85.15905922900004,178.61042892094702
context_learned_lite,19,warehouse_small_kiva,abrupt,4606,2.303,1,6,25,0,0.019228221,86.854764501,173.20093355886638
exact_even_B25,19,warehouse_small_kiva,abrupt,4627,2.3135,1,25,25,0,0.6711942399999999,82.32085420500002,180.30297422688454
context_learned_lite,19,warehouse_small_kiva,stationary,4615,2.3075,1,11,25,0,0.014647262000000001,88.855831297,171.09870524331927
exact_even_B25,19,warehouse_small_kiva,stationary,4618,2.309,1,25,25,0,0.173710491,86.33589579700003,173.70308144018054
context_learned_lite,20,warehouse_small_kiva,abrupt,4636,2.318,1,15,25,0,0.133243824,84.77069328700001,174.3116040956229
exact_even_B25,20,warehouse_small_kiva,abrupt,4613,2.3065,1,25,25,0,0.49647311499999996,85.22050635599999,176.3061025198549
context_learned_lite,20,warehouse_small_kiva,stationary,4571,2.2855,1,7,25,0,0.011940300000000001,85.75849486599996,173.22006488777697
exact_even_B25,20,warehouse_small_kiva,stationary,4525,2.2625,1,25,25,0,0.44818202499999993,89.41012001000004,175.01732847746462
