method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_learned_lite,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,8,25,0,0.119464161,75.67122509900003,180.6235946053639
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.231794408,77.54126586800002,168.88654765672982
context_learned_lite,17,warehouse_small_narrow_kiva,stationary,3889,1.9445,1,11,25,0,0.008579695,78.164286251,167.4145869864151
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.545279396,79.35761606299997,170.4079292844981
context_learned_lite,18,warehouse_small_narrow_kiva,abrupt,3854,1.927,1,11,25,0,0.10137582199999999,78.120767456,174.28080481197685
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.37978244999999994,74.51471370499998,182.80571158602834
context_learned_lite,18,warehouse_small_narrow_kiva,stationary,3943,1.9715,1,16,25,0,0.12470183899999998,80.81008523500003,169.32724285311997
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.23555761600000003,79.78313190499999,164.8147280421108
context_learned_lite,19,warehouse_small_narrow_kiva,abrupt,3873,1.9365,1,10,25,0,0.26952239899999997,78.49464995199997,176.71168615669012
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.28396566000000006,78.91008210100003,173.68613320123404
context_learned_lite,19,warehouse_small_narrow_kiva,stationary,3912,1.956,1,13,25,0,0.018196504,79.22168518499996,163.60754704475403
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.48604049299999996,75.81215066499999,165.49313850328326
context_learned_lite,20,warehouse_small_narrow_kiva,abrupt,3954,1.977,1,15,25,0,0.17767521,76.764941601,169.3090073755011
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.4127492610000001,76.400665858,175.69880576990545
context_learned_lite,20,warehouse_small_narrow_kiva,stationary,3891,1.9455,1,15,25,0,0.010380753999999999,77.31659627000003,160.99848325829953
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.6693617370000001,78.96840749900001,169.7135316543281
