method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_learned_lite,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,3,25,0,0.086050008,41.815589812,103.99681697227061
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,7,25,0,0.108223245,42.251975865999995,91.66969922278076
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.16736989200000002,43.51595565199998,93.01496906671673
context_learned_lite,17,warehouse_small_narrow_kiva,recurrent,3925,1.9625,1,2,25,0,0.060325509,44.452784840000014,117.49498468264937
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3883,1.9415,1,11,25,0,0.096895668,40.90780804,99.92453762795776
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.11780754799999998,41.46302544500001,104.67057709116489
context_learned_lite,17,warehouse_small_narrow_kiva,stationary,3798,1.899,1,1,25,0,0.006961450000000001,44.289014461,100.09934457018971
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3873,1.9365,1,9,25,0,0.011260349,42.03896922699999,83.20229064300656
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.126184548,42.55332988499998,88.51656476873904
context_learned_lite,18,warehouse_small_narrow_kiva,abrupt,3719,1.8595,1,2,25,0,0.054387783,43.05654518299999,104.00560233183205
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3880,1.94,1,10,25,0,0.042928743,41.97722917699999,92.41963603999466
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.284543332,42.03393647500001,93.99535947199911
context_learned_lite,18,warehouse_small_narrow_kiva,recurrent,3589,1.7945,1,3,25,0,0.008692183999999999,41.721006761,114.57506166305393
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3887,1.9435,1,12,25,0,0.16008093799999998,39.257295000999996,99.96984322555363
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.32946873200000004,40.499740034999995,101.59344812389463
