method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_learned_lite,17,warehouse_small_kiva,abrupt,4659,2.3295,1,3,25,0,0.13417105299999998,44.98350510299999,101.59325137268752
context_memory_B25,17,warehouse_small_kiva,abrupt,4622,2.311,1,10,25,0,0.166893589,47.71256592100001,92.00684945937246
exact_even_B25,17,warehouse_small_kiva,abrupt,4661,2.3305,1,25,25,0,0.34656637300000004,46.91639060399998,94.48057719413191
context_learned_lite,17,warehouse_small_kiva,recurrent,4599,2.2995,1,2,25,0,0.068556307,49.542049891,117.50171026680619
context_memory_B25,17,warehouse_small_kiva,recurrent,4599,2.2995,1,9,25,0,0.106986334,45.23001464499999,98.80588243622333
exact_even_B25,17,warehouse_small_kiva,recurrent,4633,2.3165,1,25,25,0,0.4863755119999999,46.81997319799999,103.6998789338395
context_learned_lite,17,warehouse_small_kiva,stationary,4588,2.294,1,2,25,0,0.037106004,49.05446428299998,102.42860345821828
context_memory_B25,17,warehouse_small_kiva,stationary,4546,2.273,1,8,25,0,0.06474436700000001,47.830560124,87.07754384167492
exact_even_B25,17,warehouse_small_kiva,stationary,4567,2.2835,1,25,25,0,0.332754408,49.178934115000004,93.90193265955895
context_learned_lite,18,warehouse_small_kiva,abrupt,4581,2.2905,1,3,25,0,0.013960522000000001,47.027982744000006,103.31256736256182
context_memory_B25,18,warehouse_small_kiva,abrupt,4602,2.301,1,7,25,0,0.027984478,47.59355747999998,91.82433361932635
exact_even_B25,18,warehouse_small_kiva,abrupt,4604,2.302,1,25,25,0,0.38647544999999994,47.41818032399999,93.6048161573708
context_learned_lite,18,warehouse_small_kiva,recurrent,4588,2.294,1,2,25,0,0.008824499,49.233292334999994,119.99267269764096
context_memory_B25,18,warehouse_small_kiva,recurrent,4615,2.3075,1,8,25,0,0.024380848,47.71062500999999,99.47622296772897
exact_even_B25,18,warehouse_small_kiva,recurrent,4626,2.313,1,25,25,0,0.372428894,46.41330686700002,104.30615468323231
context_learned_lite,18,warehouse_small_kiva,stationary,4297,2.1485,1,1,25,0,0.007874647,44.571807928,99.2259534150362
context_memory_B25,18,warehouse_small_kiva,stationary,4514,2.257,1,5,25,0,0.083930429,45.736485365,86.83128073904663
exact_even_B25,18,warehouse_small_kiva,stationary,4403,2.2015,1,25,25,0,0.26090198299999995,44.71824792200003,88.00691642891616
context_learned_lite,19,warehouse_small_kiva,abrupt,4490,2.245,1,1,25,0,0.081436032,48.17444456999998,114.51965944096446
context_memory_B25,19,warehouse_small_kiva,abrupt,4627,2.3135,1,7,25,0,0.17510005,45.266994073,99.69691665004939
exact_even_B25,19,warehouse_small_kiva,abrupt,4627,2.3135,1,25,25,0,0.093665773,46.76841560299999,101.2107577258721
context_learned_lite,19,warehouse_small_kiva,recurrent,4616,2.308,1,2,25,0,0.013356695,52.88703079400001,118.48414290789515
context_memory_B25,19,warehouse_small_kiva,recurrent,4614,2.307,1,11,25,0,0.109978396,51.78721209599999,102.4050176544115
exact_even_B25,19,warehouse_small_kiva,recurrent,4620,2.31,1,25,25,0,0.113164545,53.052767488000015,108.21055038273335
context_learned_lite,19,warehouse_small_kiva,stationary,4610,2.305,1,1,25,0,0.018886302,46.331989469000014,106.12396566104144
context_memory_B25,19,warehouse_small_kiva,stationary,4593,2.2965,1,7,25,0,0.021406544,47.96448220099998,93.41933292802423
exact_even_B25,19,warehouse_small_kiva,stationary,4618,2.309,1,25,25,0,0.298695369,48.89937261999999,98.22537828888744
context_learned_lite,20,warehouse_small_kiva,abrupt,4592,2.296,1,2,25,0,0.07487609699999999,47.02672205300001,115.48140998184681
context_memory_B25,20,warehouse_small_kiva,abrupt,4634,2.317,1,10,25,0,0.036464686999999996,45.73675857399998,99.70049003325403
exact_even_B25,20,warehouse_small_kiva,abrupt,4613,2.3065,1,25,25,0,0.253760121,46.46310869100001,103.00552864652127
context_learned_lite,20,warehouse_small_kiva,recurrent,4651,2.3255,1,2,25,0,0.013840019,54.059631816999996,119.29681679420173
context_memory_B25,20,warehouse_small_kiva,recurrent,4656,2.328,1,10,25,0,0.175189374,52.12018997700002,104.68965358380228
exact_even_B25,20,warehouse_small_kiva,recurrent,4655,2.3275,1,25,25,0,0.5742878349999999,50.03228923099998,105.30266903340816
context_learned_lite,20,warehouse_small_kiva,stationary,4566,2.283,1,1,25,0,0.009091028000000001,51.190740014000006,111.37885653227568
context_memory_B25,20,warehouse_small_kiva,stationary,4613,2.3065,1,7,25,0,0.079701233,50.18006632799999,95.30289415549487
exact_even_B25,20,warehouse_small_kiva,stationary,4525,2.2625,1,25,25,0,0.524148133,50.780762524000004,99.77654183469713
context_learned_lite,21,warehouse_small_kiva,abrupt,4629,2.3145,1,3,25,0,0.151829884,53.88847514800002,120.10293050855398
context_memory_B25,21,warehouse_small_kiva,abrupt,4515,2.2575,1,7,25,0,0.030421634000000003,51.234330671999984,102.91453321557492
exact_even_B25,21,warehouse_small_kiva,abrupt,4636,2.318,1,25,25,0,0.5485419180000001,52.315735617999984,106.78512418828905
context_learned_lite,21,warehouse_small_kiva,recurrent,4642,2.321,1,2,25,0,0.092127867,48.476674572,117.01435642223805
context_memory_B25,21,warehouse_small_kiva,recurrent,4640,2.32,1,9,25,0,0.090087466,44.27847553700001,98.9038623822853
exact_even_B25,21,warehouse_small_kiva,recurrent,4631,2.3155,1,25,25,0,0.17729580300000003,47.25848913300002,102.31801230087876
context_learned_lite,21,warehouse_small_kiva,stationary,4624,2.312,1,2,25,0,0.011371125,48.196187277,106.59844718314707
context_memory_B25,21,warehouse_small_kiva,stationary,4586,2.293,1,7,25,0,0.156449883,45.52789882099998,90.51074938755482
exact_even_B25,21,warehouse_small_kiva,stationary,4604,2.302,1,25,25,0,0.372130107,44.548320912,94.39778995607048
context_learned_lite,22,warehouse_small_kiva,abrupt,4635,2.3175,1,3,25,0,0.07994947200000001,45.344493379000006,99.46826463099569
context_memory_B25,22,warehouse_small_kiva,abrupt,4620,2.31,1,8,25,0,0.146754306,47.490327322000006,91.40886059589684
exact_even_B25,22,warehouse_small_kiva,abrupt,4621,2.3105,1,25,25,0,0.41068786799999996,46.27022894199998,92.69252906087786
context_learned_lite,22,warehouse_small_kiva,recurrent,4621,2.3105,1,2,25,0,0.069387074,48.388476471000004,106.80390454269946
context_memory_B25,22,warehouse_small_kiva,recurrent,4654,2.327,1,9,25,0,0.08001767,48.47990252499998,91.18718046322465
exact_even_B25,22,warehouse_small_kiva,recurrent,4628,2.314,1,25,25,0,0.22017483900000004,47.302286325999994,95.502301489003
context_learned_lite,22,warehouse_small_kiva,stationary,3808,1.904,1,1,25,0,0.008804978,51.584074282000024,109.21165371872485
context_memory_B25,22,warehouse_small_kiva,stationary,4480,2.24,1,4,25,0,0.16423491199999998,51.452324223,96.5798542490229
exact_even_B25,22,warehouse_small_kiva,stationary,4498,2.249,1,25,25,0,0.44058214599999995,51.532180732000036,99.00178643222898
context_learned_lite,23,warehouse_small_kiva,abrupt,4653,2.3265,1,3,25,0,0.011540958,45.082244214000006,103.20118616800755
context_memory_B25,23,warehouse_small_kiva,abrupt,4593,2.2965,1,9,25,0,0.038207661999999996,47.148247268000006,93.69877781625837
exact_even_B25,23,warehouse_small_kiva,abrupt,4647,2.3235,1,25,25,0,0.525160707,47.45447033,94.19475250504911
context_learned_lite,23,warehouse_small_kiva,recurrent,4408,2.204,1,1,25,0,0.009796046999999999,53.71906383700001,119.49575818050653
context_memory_B25,23,warehouse_small_kiva,recurrent,4632,2.316,1,9,25,0,0.139171911,51.52826465200001,102.69983489718288
exact_even_B25,23,warehouse_small_kiva,recurrent,4614,2.307,1,25,25,0,0.537775235,50.854335555,106.5808325484395
context_learned_lite,23,warehouse_small_kiva,stationary,4480,2.24,1,1,25,0,0.007367828,47.84499837399998,108.89345152117312
context_memory_B25,23,warehouse_small_kiva,stationary,4548,2.274,1,6,25,0,0.016404325,46.29032370699999,94.39860945846885
exact_even_B25,23,warehouse_small_kiva,stationary,4525,2.2625,1,25,25,0,0.227365706,45.88924873999999,95.81358870211989
context_learned_lite,24,warehouse_small_kiva,abrupt,4636,2.318,1,2,25,0,0.012531065,51.647146330000005,120.81244781054556
context_memory_B25,24,warehouse_small_kiva,abrupt,4636,2.318,1,10,25,0,0.039929153999999994,53.271351345999996,106.30028356984258
exact_even_B25,24,warehouse_small_kiva,abrupt,4636,2.318,1,25,25,0,0.268463433,52.86987625799997,104.03655853122473
context_learned_lite,24,warehouse_small_kiva,recurrent,4628,2.314,1,2,25,0,0.074092579,49.258797839,105.46742591261864
context_memory_B25,24,warehouse_small_kiva,recurrent,4644,2.322,1,7,25,0,0.147206625,47.881050812000005,91.17883224319667
exact_even_B25,24,warehouse_small_kiva,recurrent,4625,2.3125,1,25,25,0,0.4279776900000001,49.053091132999995,96.30841852445155
context_learned_lite,24,warehouse_small_kiva,stationary,4577,2.2885,1,2,25,0,0.070698856,45.80469153799998,107.88198691792786
context_memory_B25,24,warehouse_small_kiva,stationary,4544,2.272,1,7,25,0,0.145632797,48.25381245800003,92.79081253521144
exact_even_B25,24,warehouse_small_kiva,stationary,4584,2.292,1,25,25,0,0.4237510439999999,45.160196799000005,95.41385916154832
context_learned_lite,25,warehouse_small_kiva,abrupt,4485,2.2425,1,2,25,0,0.009550634,48.71550678599999,117.0239038085565
context_memory_B25,25,warehouse_small_kiva,abrupt,4553,2.2765,1,8,25,0,0.025796446,47.773779425000015,102.31911590788513
exact_even_B25,25,warehouse_small_kiva,abrupt,4608,2.304,1,25,25,0,0.271101187,47.902347381000006,104.32510145101696
context_learned_lite,25,warehouse_small_kiva,recurrent,4630,2.315,1,2,25,0,0.012179673,42.79028571100002,96.23372266069055
context_memory_B25,25,warehouse_small_kiva,recurrent,4625,2.3125,1,7,25,0,0.17327254900000003,47.35256962300001,88.79247715044767
exact_even_B25,25,warehouse_small_kiva,recurrent,4651,2.3255,1,25,25,0,0.46110728700000003,46.45888664599998,89.51200982090086
