method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_learned_lite,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,3,25,0,0.007318158999999999,6.761776993000001,16.947338404133916
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,7,25,0,0.01478749,6.7267298600000025,15.129682052880526
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.05364991000000001,6.54516329,15.09882724750787
context_learned_lite,17,warehouse_small_narrow_kiva,stationary,3798,1.899,1,1,25,0,0.005383122,6.4845869449999975,15.134928061626852
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3873,1.9365,1,9,25,0,0.007135575999999999,6.422596434000001,13.206860302016139
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.05018239199999999,6.291443466000003,13.361039192415774
context_learned_lite,18,warehouse_small_narrow_kiva,abrupt,3719,1.8595,1,2,25,0,0.005878271,6.914706015999999,17.233979628421366
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3880,1.94,1,10,25,0,0.01745631,6.404229388000001,14.715549802407622
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.052058768999999984,6.656772065,15.301748428493738
context_learned_lite,18,warehouse_small_narrow_kiva,stationary,3961,1.9805,1,2,25,0,0.0059359,6.753903025000001,15.474622967652977
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3938,1.969,1,8,25,0,0.011296220999999999,6.123691119999999,12.525376996025443
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.05352704099999999,6.624038932,13.78063200507313
