method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,7,25,0,0.260765008,118.19489115499997,239.56893360055983
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.845253269,115.045250299,250.392801634036
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3883,1.9415,1,11,25,0,0.10285495400000001,116.59116378200002,267.2038843110204
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.376128626,118.23956286799995,278.48794500902295
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3873,1.9365,1,9,25,0,0.08586772100000001,126.23446268000001,246.79534880444407
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.3509036750000001,130.60507053799995,258.5808224733919
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3880,1.94,1,10,25,0,0.120525171,120.159946129,244.49916489142925
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.871825887,120.48197949999997,263.5870888326317
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3887,1.9435,1,12,25,0,0.116514672,110.915721868,254.50611752457917
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.6706358159999999,108.062862926,232.8894692612812
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3938,1.969,1,8,25,0,0.20960301500000003,127.57119936699999,235.59477814566344
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.29516002199999997,116.80155114399996,234.47218132950366
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3883,1.9415,1,10,25,0,0.24549099900000002,106.14807548699999,241.72925159800798
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.502787836,120.42324471500001,281.41963958740234
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3905,1.9525,1,11,25,0,0.148427141,113.80839095800005,247.11174764670432
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,0.40236019400000006,115.07621878199997,261.70188000798225
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3871,1.9355,1,8,25,0,0.019956565,112.78613300000009,227.20503207109869
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.6848182939999999,108.63747517700003,242.410817341879
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3941,1.9705,1,10,25,0,0.30378404200000003,110.560430903,259.7229925394058
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.554133243,107.42243037800006,251.41003929264843
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3952,1.976,1,10,25,0,0.24752767099999998,113.738798685,262.89103147853166
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.7005081409999998,125.10778956200001,282.6844391832128
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3896,1.948,1,7,25,0,0.162227653,126.41830925900005,258.7942624511197
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.734260163,130.893848146,264.1790596144274
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3917,1.9585,1,10,25,0,0.405663006,106.80449893100004,226.70107173826545
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3948,1.974,1,25,25,0,0.621037104,110.05854609699998,252.49811849277467
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3819,1.9095,1,7,25,0,0.143215933,108.82315311900003,231.89191542193294
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3921,1.9605,1,25,25,0,0.6468789449999999,107.39230744100004,245.90378378890455
