method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3836,1.918,1,9,25,0,0.047175627,106.50200663000004,241.58060245774686
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.565478052,106.48671268599996,251.92643305007368
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3883,1.9415,1,11,25,0,0.184264527,115.43756615599997,261.0157307991758
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.529347455,106.56988330000001,239.18542132060975
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3916,1.958,1,9,25,0,0.096773093,138.56633594899998,244.29551714845002
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,1.083861199,125.85038954599996,235.91930570732802
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3845,1.9225,1,9,25,0,0.117376357,115.95276732400002,250.20540925953537
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.46620537799999995,118.93486864399999,243.25486826803535
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3887,1.9435,1,12,25,0,0.279337115,114.54189455099998,264.4045548029244
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.7511807549999999,121.42525449100003,281.3088529249653
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3950,1.975,1,9,25,0,0.02961379,121.09242921799995,237.00410404149443
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.702289754,119.07975630600004,226.00620771665126
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3875,1.9375,1,10,25,0,0.040195470999999997,107.074332818,240.2787166358903
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.637064297,114.416056429,266.3961957320571
