method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,7,25,0,0.10213907100000001,114.601110249,234.1827498357743
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.6567240089999999,104.71350541499999,246.34980787802488
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3883,1.9415,1,11,25,0,0.10754180499999999,112.18121213200003,255.31100732740015
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.8540922660000001,127.68036356299993,295.38666653167456
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3873,1.9365,1,9,25,0,0.197082849,129.50871889100003,252.00900161545724
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.5740738289999999,121.05259873100005,261.4942511813715
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3880,1.94,1,10,25,0,0.063503605,118.697493546,247.7217744225636
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.597697925,116.32790531200001,245.19579136464745
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3887,1.9435,1,12,25,0,0.126293112,122.20184453800002,286.7073289519176
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.5896448209999999,106.77582377800003,238.2086911732331
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3938,1.969,1,8,25,0,0.09786114399999998,117.08372205100002,232.21005412191153
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.6115659599999999,114.23102873100005,232.41296359803528
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3883,1.9415,1,10,25,0,0.031197955,111.299526913,253.2182640740648
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.612813783,112.01008505600001,268.9864630019292
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3905,1.9525,1,11,25,0,0.02829306,114.03331407300004,259.20418386813253
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,0.554156297,112.97154617499999,259.3073894781992
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3871,1.9355,1,8,25,0,0.014182171,118.38806288000004,231.30614296440035
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.32721914599999996,107.36825715799998,229.5016853576526
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3941,1.9705,1,10,25,0,0.26905668199999994,121.12526334599997,283.10053546726704
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.566265513,111.89833952699998,225.7210415592417
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3952,1.976,1,10,25,0,0.10971355499999999,115.42039325300004,250.6885197693482
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.34023383599999996,120.92834390499999,273.285602549091
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3854,1.927,1,6,25,0,0.12003585000000001,125.65431377799997,241.90991443768144
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.6595820939999999,123.11342834499992,242.28973701875657
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3917,1.9585,1,10,25,0,0.110390087,111.62524993800004,255.9996931143105
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3948,1.974,1,25,25,0,0.489916534,115.53472055900001,268.08573297876865
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3852,1.926,1,9,25,0,0.212462055,105.30466160499998,236.41352068260312
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3921,1.9605,1,25,25,0,0.39419705699999996,123.677286579,283.50277994107455
context_memory_B25,21,warehouse_small_narrow_kiva,stationary,3930,1.965,1,7,25,0,0.103502714,112.50987260800001,244.40758133027703
exact_even_B25,21,warehouse_small_narrow_kiva,stationary,3945,1.9725,1,25,25,0,0.6627599140000001,111.89111296299996,244.99652335979044
context_memory_B25,22,warehouse_small_narrow_kiva,abrupt,3898,1.949,1,11,25,0,0.136858656,104.51322219300006,231.51011610031128
exact_even_B25,22,warehouse_small_narrow_kiva,abrupt,3920,1.96,1,25,25,0,0.5189128030000001,106.51550055899999,232.83801367599517
context_memory_B25,22,warehouse_small_narrow_kiva,recurrent,3899,1.9495,1,11,25,0,0.253867199,116.11030586000001,263.99962616711855
exact_even_B25,22,warehouse_small_narrow_kiva,recurrent,3916,1.958,1,25,25,0,0.82282228,117.66361941600002,249.68644530698657
context_memory_B25,22,warehouse_small_narrow_kiva,stationary,3869,1.9345,1,7,25,0,0.038142468,130.96258016900012,222.29557006806135
exact_even_B25,22,warehouse_small_narrow_kiva,stationary,3921,1.9605,1,25,25,0,0.886281979,130.873899604,251.7078645946458
context_memory_B25,23,warehouse_small_narrow_kiva,abrupt,3921,1.9605,1,7,25,0,0.128196111,115.209111983,248.9170072870329
exact_even_B25,23,warehouse_small_narrow_kiva,abrupt,3937,1.9685,1,25,25,0,0.3443727929999999,112.45460977099997,248.91466227453202
context_memory_B25,23,warehouse_small_narrow_kiva,recurrent,3797,1.8985,1,11,25,0,0.189047253,112.129469536,261.02023190353066
exact_even_B25,23,warehouse_small_narrow_kiva,recurrent,3894,1.947,1,25,25,0,0.68178279,117.42010631899997,272.49267959874123
context_memory_B25,23,warehouse_small_narrow_kiva,stationary,3847,1.9235,1,10,25,0,0.092635606,109.61325611800002,246.29789209272712
exact_even_B25,23,warehouse_small_narrow_kiva,stationary,3924,1.962,1,25,25,0,0.552811439,112.07609278000002,240.3040654398501
context_memory_B25,24,warehouse_small_narrow_kiva,abrupt,3906,1.953,1,10,25,0,0.117201689,124.249879708,248.54757014289498
exact_even_B25,24,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.703091273,126.59778320699998,274.1833918169141
context_memory_B25,24,warehouse_small_narrow_kiva,recurrent,3870,1.935,1,11,25,0,0.21645742799999998,116.323671897,258.3194395508617
exact_even_B25,24,warehouse_small_narrow_kiva,recurrent,3952,1.976,1,25,25,0,0.55739465,114.67215265500005,260.19290725979954
context_memory_B25,24,warehouse_small_narrow_kiva,stationary,3885,1.9425,1,7,25,0,0.092263359,114.82301909699997,234.9122152281925
exact_even_B25,24,warehouse_small_narrow_kiva,stationary,3908,1.954,1,25,25,0,0.547583507,112.46603488800001,241.3785615824163
context_memory_B25,25,warehouse_small_narrow_kiva,abrupt,3915,1.9575,1,9,25,0,0.17355997599999998,123.39686182700002,277.71790540777147
exact_even_B25,25,warehouse_small_narrow_kiva,abrupt,3860,1.93,1,25,25,0,0.5670968319999999,108.11221806999993,248.50826663989574
context_memory_B25,25,warehouse_small_narrow_kiva,recurrent,3871,1.9355,1,11,25,0,0.102159617,104.004021281,226.9324727365747
exact_even_B25,25,warehouse_small_narrow_kiva,recurrent,3931,1.9655,1,25,25,0,0.511148205,107.39482896300007,220.7934157550335
