method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3816,1.908,1,6,25,0,0.030055921,114.60302639900002,250.4259649766609
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.7719564199999999,116.527592546,244.46153297834098
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3950,1.975,1,8,25,0,0.130971974,115.57131665100005,256.28818791080266
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.56517808,124.34624099899996,283.2032318022102
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3887,1.9435,1,7,25,0,0.097150293,123.08501913200003,247.98206864204258
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.5261549389999999,121.42035380500002,237.31358011532575
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3853,1.9265,1,8,25,0,0.185861166,116.99873452200002,248.78566956333816
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.36273879099999995,116.527939509,253.38884138315916
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3903,1.9515,1,7,25,0,0.276979157,107.83868240100001,239.12952250428498
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.4223905190000001,123.05096095200001,291.8002361673862
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3927,1.9635,1,6,25,0,0.090556606,119.44980027799998,221.69698598515242
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.50269242,116.28441711900001,236.77821334730834
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3847,1.9235,1,8,25,0,0.042352447,120.70918723999998,273.7052300563082
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.8026846439999998,120.913919144,294.31336147803813
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3908,1.954,1,7,25,0,0.096401931,110.91272693599994,256.01114858780056
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,0.3613390380000001,114.21054219599995,268.3872265573591
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3909,1.9545,1,6,25,0,0.062202606,113.59592362600002,245.1762469355017
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.37058813999999995,109.56122839999993,241.10135391168296
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3939,1.9695,1,8,25,0,0.092347413,109.19334256499998,254.51900054421276
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.496477819,107.153603492,243.9191934093833
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3971,1.9855,1,7,25,0,0.023088505000000002,106.92254875999997,228.1808491209522
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.45874225199999996,117.32154361700003,261.7271235678345
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3838,1.919,1,6,25,0,0.099561845,123.84101544799996,244.08349782787263
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.824367462,127.39740874300001,242.29561122134328
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3922,1.961,1,7,25,0,0.111107856,106.67871464999999,248.7160363746807
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3948,1.974,1,25,25,0,0.6123888959999999,113.883745754,256.3161821719259
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3867,1.9335,1,7,25,0,0.09265875000000001,107.40031873600002,245.09064101148397
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3921,1.9605,1,25,25,0,0.739793651,115.482113477,265.00596092268825
context_memory_B25,21,warehouse_small_narrow_kiva,stationary,3930,1.965,1,6,25,0,0.012485333000000001,114.35966717100001,251.01873330865055
exact_even_B25,21,warehouse_small_narrow_kiva,stationary,3945,1.9725,1,25,25,0,0.33758768899999997,109.053704159,244.39288216922432
context_memory_B25,22,warehouse_small_narrow_kiva,abrupt,3898,1.949,1,7,25,0,0.170503852,104.762681648,236.69391574244946
exact_even_B25,22,warehouse_small_narrow_kiva,abrupt,3920,1.96,1,25,25,0,0.44219499900000003,112.47127278299996,241.03221912309527
context_memory_B25,22,warehouse_small_narrow_kiva,recurrent,3894,1.947,1,7,25,0,0.210859916,122.767941005,262.6007198365405
exact_even_B25,22,warehouse_small_narrow_kiva,recurrent,3916,1.958,1,25,25,0,0.6813850610000001,119.23456330999998,257.3062498085201
context_memory_B25,22,warehouse_small_narrow_kiva,stationary,3858,1.929,1,6,25,0,0.10841417,131.402923296,248.1262909853831
