method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,8,25,0,0.24125027599999999,117.36451484100004,235.1018044380471
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.524788431,111.55221332700006,241.67862356826663
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3945,1.9725,1,12,25,0,0.348718726,109.59631155199997,239.1027460284531
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.36866327399999993,120.32404201699995,278.90270913764834
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3889,1.9445,1,11,25,0,0.083057417,134.07653927300004,227.9670661110431
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.9539570509999998,131.704253347,262.4935199311003
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3883,1.9415,1,10,25,0,0.215086324,116.71914231199997,253.39122593030334
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.7733075150000001,116.36827581700001,253.59645595401525
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3923,1.9615,1,16,25,0,0.267877141,109.89499126099997,254.48312834836543
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.5256957250000001,108.24776267600002,240.3108672844246
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3943,1.9715,1,16,25,0,0.022427748,118.70790158300001,216.32191108725965
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.515144659,122.31603204100003,233.72015534061939
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3878,1.939,1,11,25,0,0.306895482,117.69146945400003,270.4115463178605
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.6978229609999999,117.66186554799998,278.299872324802
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3897,1.9485,1,13,25,0,0.19181599100000002,114.76055502,267.79186408407986
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,1.1412756329999998,119.03436131100003,278.42571564391255
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3912,1.956,1,13,25,0,0.231132161,109.61967063200001,242.6280027916655
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.4829464199999998,108.14638364999993,238.9228979870677
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3946,1.973,1,12,25,0,0.15385198499999997,113.96999998299995,265.30742605868727
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.5534714699999999,109.20869655100002,244.5072749229148
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3952,1.976,1,10,25,0,0.11168284400000002,110.48207299699999,251.10264950152487
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.482879788,121.51904933300003,277.4140616096556
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3891,1.9455,1,16,25,0,0.122174058,131.314251296,258.21166672278196
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.4955774889999999,124.91380540100003,247.41570840217173
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3945,1.9725,1,11,25,0,0.285911076,116.00002647599999,262.2977813202888
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3948,1.974,1,25,25,0,0.3583004149999999,113.04005386800002,237.6020704107359
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3941,1.9705,1,12,25,0,0.09522332700000001,109.25247183899997,252.32116677239537
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3921,1.9605,1,25,25,0,0.542075035,122.07908230800003,276.385471037589
context_memory_B25,21,warehouse_small_narrow_kiva,stationary,3930,1.965,1,7,25,0,0.20284555,115.56506295599998,244.5856043100357
exact_even_B25,21,warehouse_small_narrow_kiva,stationary,3945,1.9725,1,25,25,0,0.514393864,113.00275437700003,230.1082927621901
context_memory_B25,22,warehouse_small_narrow_kiva,abrupt,3954,1.977,1,12,25,0,0.18826549300000003,108.49547935100004,235.01971489284188
exact_even_B25,22,warehouse_small_narrow_kiva,abrupt,3920,1.96,1,25,25,0,0.7207351350000001,103.07940749100001,240.81482887547463
context_memory_B25,22,warehouse_small_narrow_kiva,recurrent,3945,1.9725,1,15,25,0,0.19364734499999997,115.69071587,271.6055697053671
exact_even_B25,22,warehouse_small_narrow_kiva,recurrent,3916,1.958,1,25,25,0,0.605603549,122.653192142,270.6182488081977
context_memory_B25,22,warehouse_small_narrow_kiva,stationary,3922,1.961,1,7,25,0,0.162891144,135.31540652299998,245.8235890455544
exact_even_B25,22,warehouse_small_narrow_kiva,stationary,3921,1.9605,1,25,25,0,0.9421782080000001,130.16429283500003,231.70168338529766
context_memory_B25,23,warehouse_small_narrow_kiva,abrupt,3921,1.9605,1,7,25,0,0.139805699,116.89167421200001,249.69470384251326
exact_even_B25,23,warehouse_small_narrow_kiva,abrupt,3937,1.9685,1,25,25,0,0.5558230840000001,111.814240196,249.42215374857187
context_memory_B25,23,warehouse_small_narrow_kiva,recurrent,3818,1.909,1,16,25,0,0.032049534000000005,113.98950146399991,264.6838553957641
exact_even_B25,23,warehouse_small_narrow_kiva,recurrent,3894,1.947,1,25,25,0,0.5737373489999998,109.398784569,256.28741610981524
context_memory_B25,23,warehouse_small_narrow_kiva,stationary,3833,1.9165,1,15,25,0,0.11750729700000001,118.07615718400002,216.612861758098
exact_even_B25,23,warehouse_small_narrow_kiva,stationary,3924,1.962,1,25,25,0,0.210529428,107.29963378299999,233.71534891612828
context_memory_B25,24,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,11,25,0,0.30172636199999997,130.827131343,253.08706588856876
exact_even_B25,24,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.5740383549999999,132.20870976000003,274.4866472221911
context_memory_B25,24,warehouse_small_narrow_kiva,recurrent,3894,1.947,1,14,25,0,0.181310817,112.07176148500004,265.7104417644441
