method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3913,1.9565,1,7,25,0,0.188615116,121.49707044499996,256.69772063195705
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.7175092880000001,121.262401846,247.81014329008758
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3902,1.951,1,7,25,0,0.09866977099999999,106.48908150199996,237.26578807085752
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.7449221080000001,113.83932994500002,264.4757201913744
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3787,1.8935,1,8,25,0,0.101757718,132.38732760200003,253.36804618500173
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.5887019969999998,131.27120114600004,259.0047291852534
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3834,1.917,1,9,25,0,0.20184035799999997,118.50367595500002,260.9197708563879
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.749944666,115.74045233699997,263.6099381726235
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3866,1.933,1,10,25,0,0.10632093899999999,114.025219407,254.07941562402993
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.515202596,108.38249121499997,238.98318610340357
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3959,1.9795,1,8,25,0,0.083140424,129.087104134,237.58643449656665
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.670223821,124.06694928100003,232.51019633747637
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3916,1.958,1,7,25,0,0.168989535,116.897280287,271.89455283712596
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.26792184199999997,112.41442890699996,250.28219217341393
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3893,1.9465,1,9,25,0,0.200083859,107.00361239299994,235.89699980337173
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,0.409895814,115.61549791400004,272.514823528938
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3886,1.943,1,8,25,0,0.167388337,114.56337574999998,218.4416878875345
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.554822886,115.72185512799999,260.30135908536613
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,6,25,0,0.030732525,112.85291366700004,252.90715205762535
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.9328318799999997,114.72344248799998,263.0159068731591
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,6,25,0,0.15297481799999998,120.67661820299993,271.01493671070784
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.337455932,109.89265547699998,223.19810826145113
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3853,1.9265,1,6,25,0,0.187100718,132.72379695900003,256.77132656704634
