method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3869,1.9345,1,11,25,0,0.28962862,114.513620951,232.29080721084028
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.5203175540000001,99.23506548799998,244.85480717848986
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3917,1.9585,1,12,25,0,0.040578315,108.29578602100003,250.71225802507252
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.4090223300000001,123.212699789,285.67686899006367
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3845,1.9225,1,11,25,0,0.288823983,128.453584626,233.52019610255957
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.674531708,130.32822168000004,254.20453762076795
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3930,1.965,1,13,25,0,0.054922879,116.916336712,249.88455363363028
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.7373043439999999,114.83624071500002,250.12457986548543
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3868,1.934,1,12,25,0,0.36111398499999997,121.39028232199995,277.38788588996977
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.5164357910000001,115.69141173000001,267.09457314107567
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3944,1.972,1,12,25,0,0.199872376,119.20127543600002,231.19722329080105
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.5290509219999999,113.92239966399998,223.90163314063102
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3843,1.9215,1,12,25,0,0.274382329,108.53085662500001,235.60726288426667
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.31333813799999993,108.066443407,246.80305208917707
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3929,1.9645,1,12,25,0,0.13949568499999998,125.09279062100002,282.19364222418517
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,0.6120616029999999,112.38376480500004,257.0269045867026
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3881,1.9405,1,10,25,0,0.030902020000000002,115.11568567099998,226.22875544521958
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.329590192,107.65452848899994,238.45923498272896
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3902,1.951,1,12,25,0,0.169770034,114.56443772199998,268.30761303100735
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.6235314320000002,125.30657211999997,296.5095814941451
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3956,1.978,1,11,25,0,0.31197274399999997,118.331085413,270.98061686195433
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.7029843390000001,111.33508171499999,252.50694583822042
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3875,1.9375,1,12,25,0,0.284532122,125.090614812,256.12620194256306
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.8447096040000001,121.24681007599995,256.67742100544274
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3941,1.9705,1,13,25,0,0.3593282419999999,106.73283426900001,241.48883244302124
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3948,1.974,1,25,25,0,0.703887087,120.18973092600001,283.40587105508894
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3869,1.9345,1,12,25,0,0.361081095,121.77120447200002,276.106805158779
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3921,1.9605,1,25,25,0,0.6176333679999999,117.97702197399998,271.2921273065731
context_memory_B25,21,warehouse_small_narrow_kiva,stationary,3900,1.95,1,9,25,0,0.10662786700000002,116.09957669999997,244.91206727642566
exact_even_B25,21,warehouse_small_narrow_kiva,stationary,3945,1.9725,1,25,25,0,0.655649885,110.05375129500004,242.4147530430928
context_memory_B25,22,warehouse_small_narrow_kiva,abrupt,3879,1.9395,1,12,25,0,0.13555565,111.082888466,223.07614085823298
exact_even_B25,22,warehouse_small_narrow_kiva,abrupt,3920,1.96,1,25,25,0,0.5065715519999999,102.02230640400002,231.85507638845593
