method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3924,1.962,1,9,25,0,0.042098505,112.86196193299999,235.91415009088814
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.47858056299999996,114.76531990999995,237.975015909411
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3883,1.9415,1,11,25,0,0.251145467,111.319552019,253.81021105125546
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.8195973010000001,112.547441655,269.18294136971235
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3873,1.9365,1,9,25,0,0.09653745600000001,125.39925414199999,236.49400839209557
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.526579061,118.77965277499997,246.69888446480036
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3910,1.955,1,9,25,0,0.054626866999999996,113.14257691499999,243.3589865230024
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.27697431499999997,113.67593205599998,237.7588751455769
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3816,1.908,1,11,25,0,0.241140112,112.55856486500002,261.909259326756
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.8212228850000001,108.05156694899999,247.59337956737727
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3913,1.9565,1,8,25,0,0.09144977599999998,118.81592920599999,223.01252157613635
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.6383179290000001,114.548782565,224.8319650515914
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3883,1.9415,1,10,25,0,0.182598954,113.42984233699997,265.6054555028677
exact_even_B25,19,warehouse_small_narrow_kiva,abrupt,3909,1.9545,1,25,25,0,0.126674238,108.84194432200002,244.91499928757548
context_memory_B25,19,warehouse_small_narrow_kiva,recurrent,3905,1.9525,1,11,25,0,0.072897723,113.954837251,267.5120309917256
exact_even_B25,19,warehouse_small_narrow_kiva,recurrent,3910,1.955,1,25,25,0,0.574682685,117.04284783399999,274.78258319571614
context_memory_B25,19,warehouse_small_narrow_kiva,stationary,3871,1.9355,1,8,25,0,0.201781655,109.96893860800003,226.01264633610845
exact_even_B25,19,warehouse_small_narrow_kiva,stationary,3914,1.957,1,25,25,0,0.832858942,112.47459363700001,258.31717597320676
context_memory_B25,20,warehouse_small_narrow_kiva,abrupt,3943,1.9715,1,8,25,0,0.10084843099999999,111.11763908699999,241.42666614893824
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3947,1.9735,1,25,25,0,0.44625050599999994,115.54000995900002,269.21133589185774
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3952,1.976,1,10,25,0,0.30146204400000004,112.79977323700003,263.39141436852515
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3947,1.9735,1,25,25,0,0.33612591100000005,116.61404592299999,264.7077731061727
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3932,1.966,1,9,25,0,0.013452806999999999,125.77171647999994,237.29147149808705
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3925,1.9625,1,25,25,0,0.37520292099999997,128.09430253699995,261.5060840845108
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3917,1.9585,1,10,25,0,0.20761498500000003,104.77177724500005,236.89435834251344
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3948,1.974,1,25,25,0,0.36460179400000003,113.30517416100001,267.4844051776454
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3918,1.959,1,9,25,0,0.036561063,107.02876916899999,244.62819034326822
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3921,1.9605,1,25,25,0,0.914335199,116.97106351599999,271.70895273890346
context_memory_B25,21,warehouse_small_narrow_kiva,stationary,3930,1.965,1,7,25,0,0.021700351,109.42402991900002,224.0878367749974
exact_even_B25,21,warehouse_small_narrow_kiva,stationary,3945,1.9725,1,25,25,0,0.35952969199999996,110.11081843900001,237.79984486382455
context_memory_B25,22,warehouse_small_narrow_kiva,abrupt,3871,1.9355,1,10,25,0,0.107494594,107.604056921,242.98097181785852
exact_even_B25,22,warehouse_small_narrow_kiva,abrupt,3920,1.96,1,25,25,0,0.4865490070000001,109.01066606299997,243.35415040235966
context_memory_B25,22,warehouse_small_narrow_kiva,recurrent,3938,1.969,1,10,25,0,0.19708466200000002,114.80641949199997,254.6214929316193
exact_even_B25,22,warehouse_small_narrow_kiva,recurrent,3916,1.958,1,25,25,0,0.518659306,122.69753567800001,253.70915399119258
context_memory_B25,22,warehouse_small_narrow_kiva,stationary,3869,1.9345,1,7,25,0,0.089218099,131.58374795100002,244.0842723697424
