method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3839,1.9195,1,7,25,0,0.275008615,113.6743152649999,254.20141697768122
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3886,1.943,1,25,25,0,0.7575344460000001,116.04533505599997,249.09961487352848
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3883,1.9415,1,11,25,0,0.029660368999999995,114.52862350500001,273.18333811406046
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3930,1.965,1,25,25,0,0.889552355,117.42511596499996,282.96838788315654
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3873,1.9365,1,9,25,0,0.028090687,125.174272653,237.06869921833277
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3818,1.909,1,25,25,0,0.8761105860000002,133.77441018500002,257.5967957219109
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3880,1.94,1,10,25,0,0.26756079,122.07168008800004,258.706141452305
exact_even_B25,18,warehouse_small_narrow_kiva,abrupt,3919,1.9595,1,25,25,0,0.7199087879999999,116.74516913300002,264.52199691999704
context_memory_B25,18,warehouse_small_narrow_kiva,recurrent,3887,1.9435,1,12,25,0,0.287690687,113.74349927899999,265.898520546034
exact_even_B25,18,warehouse_small_narrow_kiva,recurrent,3901,1.9505,1,25,25,0,0.3808717810000001,109.85268477599998,249.003701900132
context_memory_B25,18,warehouse_small_narrow_kiva,stationary,3938,1.969,1,8,25,0,0.09936365600000001,118.72811403899998,224.11039553303272
exact_even_B25,18,warehouse_small_narrow_kiva,stationary,3935,1.9675,1,25,25,0,0.496359714,118.03532104200004,240.7078032726422
context_memory_B25,19,warehouse_small_narrow_kiva,abrupt,3883,1.9415,1,10,25,0,0.036004895999999995,110.55719905299999,251.51211471576244
