method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,17,warehouse_small_narrow_kiva,abrupt,3422,1.711,1,0,0,0,0.040611083,5.492152225,7.28416483476758
context_dualcap_G4S5,17,warehouse_small_narrow_kiva,abrupt,3805,1.9025,1,5,5,0,0.343032184,7.459026188000003,13.248501535505056
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3896,1.948,1,8,25,0,0.541465872,6.037215773,8.616996318101883
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3882,1.941,1,25,25,0,0.42819590300000004,5.564439768000003,8.430124457925558
bootstrap_only,17,warehouse_small_narrow_kiva,recurrent,3712,1.856,1,0,0,0,0.015880182,6.115295712,7.888306923210621
context_dualcap_G4S5,17,warehouse_small_narrow_kiva,recurrent,3634,1.817,1,5,5,0,1.544631712,10.851315130000005,18.98304232209921
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3878,1.939,1,11,25,0,3.370346408,11.802690823999995,18.245620153844357
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3893,1.9465,1,25,25,0,2.149004056,6.251725396000001,11.274860940873623
bootstrap_only,17,warehouse_small_narrow_kiva,stationary,3845,1.9225,1,0,0,0,0.533898987,6.3014751690000015,9.668052390217781
context_dualcap_G4S5,17,warehouse_small_narrow_kiva,stationary,3635,1.8175,1,5,5,0,0.019973704000000002,6.945760357000002,9.008144177496433
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3724,1.862,1,8,25,0,0.094927409,5.409896704000001,7.675131991505623
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3788,1.894,1,25,25,0,1.148133457,6.2902056620000035,10.163234267383814
bootstrap_only,18,warehouse_small_narrow_kiva,abrupt,3623,1.8115,1,0,0,0,0.02532804,6.489995602999999,8.36543095856905
context_dualcap_G4S5,18,warehouse_small_narrow_kiva,abrupt,3783,1.8915,1,5,5,0,1.012676305,7.135662926,10.661760237067938
context_memory_B25,18,warehouse_small_narrow_kiva,abrupt,3799,1.8995,1,7,25,0,0.7506904220000001,5.822491159999998,8.684859041124582
