method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,17,warehouse_small_kiva,abrupt,5720,2.86,1,0,0,0,0.015088484,9.558745327999999,12.546364407986403
context_dualcap_G4S5,17,warehouse_small_kiva,abrupt,6023,3.0115,1,4,5,0,0.041307673999999996,9.737626660999998,14.510920710861683
context_memory_B25,17,warehouse_small_kiva,abrupt,6002,3.001,1,5,25,0,0.114323235,9.711898114000002,13.033768363296986
exact_even_B25,17,warehouse_small_kiva,abrupt,6590,3.295,1,25,25,0,0.33711076600000006,9.490810202000004,13.3033313639462
bootstrap_only,17,warehouse_small_kiva,recurrent,5069,2.5345,1,0,0,0,0.982694897,14.81826953599999,20.142443850636482
context_dualcap_G4S5,17,warehouse_small_kiva,recurrent,5454,2.727,1,4,5,0,1.08765464,10.404418122999997,17.035034723579884
context_memory_B25,17,warehouse_small_kiva,recurrent,5454,2.727,1,4,25,0,1.230801303,11.685432305000004,17.540084697306156
exact_even_B25,17,warehouse_small_kiva,recurrent,6226,3.113,1,25,25,0,5.742812399,11.543385767000002,22.513226207345724
bootstrap_only,17,warehouse_small_kiva,stationary,3669,1.8345,1,0,0,0,0.014758938,9.748302322000002,14.063494682312012
context_dualcap_G4S5,17,warehouse_small_kiva,stationary,3886,1.943,1,3,5,0,0.06534678,9.011174797999997,12.34814129024744
context_memory_B25,17,warehouse_small_kiva,stationary,3886,1.943,1,3,25,0,0.161217172,9.086151999,12.510534100234509
exact_even_B25,17,warehouse_small_kiva,stationary,3948,1.974,1,25,25,0,0.290238506,8.576079594999998,12.604855623096228
bootstrap_only,18,warehouse_small_kiva,abrupt,6175,3.0875,1,0,0,0,0.034942865,9.789158659999996,12.760565266013145
context_dualcap_G4S5,18,warehouse_small_kiva,abrupt,6139,3.0695,1,4,5,0,0.201771518,9.724300738999998,13.150920186191797
context_memory_B25,18,warehouse_small_kiva,abrupt,6139,3.0695,1,4,25,0,0.058717988,9.541495856000001,12.918405026197433
exact_even_B25,18,warehouse_small_kiva,abrupt,6772,3.386,1,25,25,0,0.9210573999999999,9.746731086000002,16.036695573478937
bootstrap_only,18,warehouse_small_kiva,recurrent,5100,2.55,1,0,0,0,0.030872274,15.166808408999993,19.244679532945156
context_dualcap_G4S5,18,warehouse_small_kiva,recurrent,5680,2.84,1,4,5,0,1.520552408,12.807573568999995,19.00479895621538
context_memory_B25,18,warehouse_small_kiva,recurrent,5680,2.84,1,4,25,0,0.516814195,11.711392582000004,16.098583236336708
exact_even_B25,18,warehouse_small_kiva,recurrent,5855,2.9275,1,25,25,0,2.6231945870000004,16.536079973000003,28.49030277132988
bootstrap_only,18,warehouse_small_kiva,stationary,3847,1.9235,1,0,0,0,0.023203672,8.514481342000003,11.474945981055498
context_dualcap_G4S5,18,warehouse_small_kiva,stationary,3764,1.882,1,3,5,0,0.14312431799999997,8.484376878,11.8414686024189
context_memory_B25,18,warehouse_small_kiva,stationary,3764,1.882,1,3,25,0,0.02027207,8.513289114999996,11.724281799048185
exact_even_B25,18,warehouse_small_kiva,stationary,3605,1.8025,1,25,25,0,0.222534342,8.236279855000001,12.858332186937332
bootstrap_only,19,warehouse_small_kiva,abrupt,4799,2.3995,1,0,0,0,0.062719514,9.705807616,13.340882286429405
context_dualcap_G4S5,19,warehouse_small_kiva,abrupt,4721,2.3605,1,4,5,0,0.337393634,14.824806162999996,19.36284477263689
context_memory_B25,19,warehouse_small_kiva,abrupt,4802,2.401,1,5,25,0,0.968495802,13.254321048999993,18.283160116523504
exact_even_B25,19,warehouse_small_kiva,abrupt,4372,2.186,1,25,25,0,3.9528641790000005,9.766821377999998,19.372791290283203
bootstrap_only,19,warehouse_small_kiva,recurrent,6140,3.07,1,0,0,0,0.070619556,11.062113689000002,14.488131523132324
context_dualcap_G4S5,19,warehouse_small_kiva,recurrent,7444,3.722,1,5,5,0,1.019035134,11.134410606999998,18.230788972228765
context_memory_B25,19,warehouse_small_kiva,recurrent,7253,3.6265,1,7,25,0,0.295458098,10.136733888999998,14.081030286848545
exact_even_B25,19,warehouse_small_kiva,recurrent,7335,3.6675,1,25,25,0,1.997093437,10.015110779000006,15.88747264817357
bootstrap_only,19,warehouse_small_kiva,stationary,4448,2.224,1,0,0,0,0.053922579,11.682847519000001,16.166011970490217
context_dualcap_G4S5,19,warehouse_small_kiva,stationary,4729,2.3645,1,3,5,0,1.3475588539999999,11.140726371000005,16.62853440642357
context_memory_B25,19,warehouse_small_kiva,stationary,4729,2.3645,1,3,25,0,0.44503194,9.262124795,13.422745764255524
exact_even_B25,19,warehouse_small_kiva,stationary,4768,2.384,1,25,25,0,7.046259897999999,11.658037997999998,23.50192393735051
bootstrap_only,20,warehouse_small_kiva,abrupt,6285,3.1425,1,0,0,0,0.016827243,12.914354152999998,16.670638546347618
context_dualcap_G4S5,20,warehouse_small_kiva,abrupt,6336,3.168,1,4,5,0,0.8386289280000001,8.891907136999999,13.203462410718203
context_memory_B25,20,warehouse_small_kiva,abrupt,6336,3.168,1,4,25,0,2.2414506770000004,10.684177472000002,17.044649586081505
exact_even_B25,20,warehouse_small_kiva,abrupt,6879,3.4395,1,25,25,0,6.633174318999999,12.765832291999999,28.044425707310438
bootstrap_only,20,warehouse_small_kiva,recurrent,6323,3.1615,1,0,0,0,0.07334045,11.578828782000002,17.83451348543167
context_dualcap_G4S5,20,warehouse_small_kiva,recurrent,6484,3.242,1,4,5,0,0.12911513500000002,10.163798249000003,13.674576461315155
context_memory_B25,20,warehouse_small_kiva,recurrent,6484,3.242,1,4,25,0,0.387203203,9.950826184999999,13.73908295482397
exact_even_B25,20,warehouse_small_kiva,recurrent,6258,3.129,1,25,25,0,3.289714819,10.079418918,17.312958519905806
bootstrap_only,20,warehouse_small_kiva,stationary,4164,2.082,1,0,0,0,0.009882084,8.798178617000001,11.894851550459862
context_dualcap_G4S5,20,warehouse_small_kiva,stationary,4107,2.0535,1,3,5,0,0.05451368200000001,9.405941807,13.001650832593441
context_memory_B25,20,warehouse_small_kiva,stationary,4107,2.0535,1,3,25,0,0.346804769,9.186046794000003,13.792285695672035
exact_even_B25,20,warehouse_small_kiva,stationary,3822,1.911,1,25,25,0,0.8906571600000002,8.886941357999998,13.69872784614563
bootstrap_only,21,warehouse_small_kiva,abrupt,6152,3.076,1,0,0,0,0.008414589,15.448263262000008,19.401257306337357
context_dualcap_G4S5,21,warehouse_small_kiva,abrupt,6762,3.381,1,4,5,0,2.258191749,13.78477318399999,20.951636753976345
context_memory_B25,21,warehouse_small_kiva,abrupt,6762,3.381,1,4,25,0,1.702719237,11.842737751,17.510520290583372
exact_even_B25,21,warehouse_small_kiva,abrupt,6947,3.4735,1,25,25,0,3.9898371150000003,9.859474576000002,19.468066442757845
bootstrap_only,21,warehouse_small_kiva,recurrent,5433,2.7165,1,0,0,0,0.055724146,9.574444621999998,13.611505914479494
context_dualcap_G4S5,21,warehouse_small_kiva,recurrent,5598,2.799,1,4,5,0,1.424273285,15.388271291999999,23.628205429762602
context_memory_B25,21,warehouse_small_kiva,recurrent,5598,2.799,1,4,25,0,0.29177598099999996,9.126866015999996,12.970637239515781
exact_even_B25,21,warehouse_small_kiva,recurrent,6108,3.054,1,25,25,0,7.11509783,12.206301815999996,24.0215600207448
bootstrap_only,21,warehouse_small_kiva,stationary,6283,3.1415,1,0,0,0,0.014018667,14.868300107000003,19.24809766933322
context_dualcap_G4S5,21,warehouse_small_kiva,stationary,6027,3.0135,1,3,5,0,0.125012348,9.223570788,13.10080736130476
context_memory_B25,21,warehouse_small_kiva,stationary,6027,3.0135,1,3,25,0,0.9168530840000001,11.869886825999997,17.28369766101241
exact_even_B25,21,warehouse_small_kiva,stationary,5946,2.973,1,25,25,0,7.132474831000001,12.078415402000003,24.56375426054001
bootstrap_only,22,warehouse_small_kiva,abrupt,5702,2.851,1,0,0,0,0.007756169,9.376831736000002,12.449712809175253
context_dualcap_G4S5,22,warehouse_small_kiva,abrupt,7404,3.702,1,4,5,0,0.009278257,9.807885733999997,13.271399110555649
context_memory_B25,22,warehouse_small_kiva,abrupt,7221,3.6105,1,8,25,0,0.051483935999999994,9.734031518000005,14.498022183775902
exact_even_B25,22,warehouse_small_kiva,abrupt,7318,3.659,1,25,25,0,0.20541089299999998,9.737262034999999,13.542342029511929
bootstrap_only,22,warehouse_small_kiva,recurrent,7025,3.5125,1,0,0,0,0.013128553,10.078397011,13.118415407836437
context_dualcap_G4S5,22,warehouse_small_kiva,recurrent,6785,3.3925,1,5,5,0,0.434559409,9.938189651000002,13.703929632902145
context_memory_B25,22,warehouse_small_kiva,recurrent,6799,3.3995,1,6,25,0,0.158370233,9.862138493,13.3994081877172
exact_even_B25,22,warehouse_small_kiva,recurrent,7058,3.529,1,25,25,0,0.39562526099999995,9.666613738999997,15.474439267069101
bootstrap_only,22,warehouse_small_kiva,stationary,3590,1.795,1,0,0,0,0.038607268,9.056162463999996,12.918927866965532
context_dualcap_G4S5,22,warehouse_small_kiva,stationary,3262,1.631,1,3,5,0,0.238291577,9.119967311000003,12.743338081985712
context_memory_B25,22,warehouse_small_kiva,stationary,3262,1.631,1,3,25,0,0.06239421900000001,8.343682744999999,11.726395595818758
exact_even_B25,22,warehouse_small_kiva,stationary,3575,1.7875,1,25,25,0,0.634893628,8.976391282,13.239199928939342
bootstrap_only,23,warehouse_small_kiva,abrupt,6674,3.337,1,0,0,0,0.005813691,10.118301250999998,13.053835075348616
context_dualcap_G4S5,23,warehouse_small_kiva,abrupt,6932,3.466,1,4,5,0,0.020286056,9.909204357999997,13.154381070286036
context_memory_B25,23,warehouse_small_kiva,abrupt,7014,3.507,1,6,25,0,0.068735887,9.942697967000003,14.893613081425428
exact_even_B25,23,warehouse_small_kiva,abrupt,7218,3.609,1,25,25,0,0.21207815300000005,9.772514725,13.500443700700998
bootstrap_only,23,warehouse_small_kiva,recurrent,6139,3.0695,1,0,0,0,0.200663542,14.945887032,20.07746646925807
context_dualcap_G4S5,23,warehouse_small_kiva,recurrent,6333,3.1665,1,4,5,0,1.589356954,20.78404761600001,27.906692314893007
context_memory_B25,23,warehouse_small_kiva,recurrent,6333,3.1665,1,4,25,0,1.914103736,12.249952237000002,20.128296073526144
exact_even_B25,23,warehouse_small_kiva,recurrent,6224,3.112,1,25,25,0,1.5118698199999998,10.202292553000003,16.05944088473916
bootstrap_only,23,warehouse_small_kiva,stationary,3471,1.7355,1,0,0,0,0.015196462,10.464631749000002,14.069837916642427
context_dualcap_G4S5,23,warehouse_small_kiva,stationary,3830,1.915,1,3,5,0,0.577160613,9.025339975,13.303602553904057
context_memory_B25,23,warehouse_small_kiva,stationary,3830,1.915,1,3,25,0,0.085552521,9.547241754000002,13.363051433116198
exact_even_B25,23,warehouse_small_kiva,stationary,3389,1.6945,1,25,25,0,8.709726251,14.099863338999993,28.667670097202063
bootstrap_only,24,warehouse_small_kiva,abrupt,4488,2.244,1,0,0,0,0.002638276,9.728945297999998,13.05513234063983
context_dualcap_G4S5,24,warehouse_small_kiva,abrupt,4210,2.105,1,4,5,0,1.355084611,10.303171868999998,15.13207483664155
context_memory_B25,24,warehouse_small_kiva,abrupt,4210,2.105,1,4,25,0,0.064676191,9.633163773,13.579913076013327
exact_even_B25,24,warehouse_small_kiva,abrupt,4806,2.403,1,25,25,0,1.9279278370000001,12.045786336,21.322335604578257
bootstrap_only,24,warehouse_small_kiva,recurrent,6198,3.099,1,0,0,0,0.025323708,9.526916276000005,12.444560587406158
context_dualcap_G4S5,24,warehouse_small_kiva,recurrent,5732,2.866,1,4,5,0,0.045015656,9.312955401,14.197866920381784
context_memory_B25,24,warehouse_small_kiva,recurrent,5732,2.866,1,4,25,0,0.06060249699999999,9.404220439999998,12.6130750477314
exact_even_B25,24,warehouse_small_kiva,recurrent,5573,2.7865,1,25,25,0,0.85936172,9.115598254999997,13.93647589161992
bootstrap_only,24,warehouse_small_kiva,stationary,4103,2.0515,1,0,0,0,0.004313127,10.747177387,14.040391307324171
context_dualcap_G4S5,24,warehouse_small_kiva,stationary,3630,1.815,1,3,5,0,0.7224095970000001,8.558594385,13.65463426336646
context_memory_B25,24,warehouse_small_kiva,stationary,3630,1.815,1,3,25,0,2.979037374,13.479115986,23.586582895368338
