method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
always,17,warehouse_small_narrow_kiva,abrupt,1304,2.1733333333333333,1,29,29,0,0.052597839,2.294789294,4.299718528985977
bootstrap_only,17,warehouse_small_narrow_kiva,abrupt,1278,2.13,1,0,0,0,0.001854501,2.2591152489999997,3.607203520834446
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,1194,1.99,1,8,8,0,0.015019344000000002,2.297352627,3.8106548860669136
js_B25,17,warehouse_small_narrow_kiva,abrupt,1295,2.158333333333333,1,8,8,0,0.020795905999999996,2.3304790320000004,7.693321868777275
period_80,17,warehouse_small_narrow_kiva,abrupt,1202,2.0033333333333334,1,7,7,0,0.014478740000000002,2.2181938050000003,3.7371542416512966
proposed_cohort_B25,17,warehouse_small_narrow_kiva,abrupt,1239,2.065,1,8,8,0,0.015953724,2.230678695,3.7498405911028385
proposed_no_cohort_B25,17,warehouse_small_narrow_kiva,abrupt,1239,2.065,1,8,8,0,0.014354879000000001,2.2506087069999996,3.7535691261291504
random_B25,17,warehouse_small_narrow_kiva,abrupt,1130,1.8833333333333333,1,8,8,0,0.016356213,2.343508143,3.8912558555603027
throughput_drop_B25,17,warehouse_small_narrow_kiva,abrupt,1179,1.965,1,8,8,0,0.01607656,2.300283265,3.8508026115596294
uniform,17,warehouse_small_narrow_kiva,abrupt,679,1.1316666666666666,0,0,0,0,0.0,2.038245245,3.5118627808988094
always,17,warehouse_small_narrow_kiva,recurrent,1094,1.8233333333333333,1,29,29,0,0.05268576300000001,2.297985425,4.331646356731653
bootstrap_only,17,warehouse_small_narrow_kiva,recurrent,1185,1.975,1,0,0,0,0.002041298,2.2787946299999997,3.7010411210358143
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,1029,1.715,1,8,8,0,0.016040696,2.171845832,3.7406369410455227
js_B25,17,warehouse_small_narrow_kiva,recurrent,1128,1.88,1,8,8,0,0.015963612000000002,2.2640924700000005,3.8239239640533924
period_80,17,warehouse_small_narrow_kiva,recurrent,920,1.5333333333333334,1,7,7,0,0.014452537,2.2013701830000003,3.7382014617323875
proposed_cohort_B25,17,warehouse_small_narrow_kiva,recurrent,1055,1.7583333333333333,1,8,8,0,0.014818657,2.2369020429999997,3.7799975723028183
proposed_no_cohort_B25,17,warehouse_small_narrow_kiva,recurrent,1064,1.7733333333333334,1,8,8,0,0.014969042,2.264510558,3.7950091660022736
random_B25,17,warehouse_small_narrow_kiva,recurrent,1030,1.7166666666666666,1,8,8,0,0.015952821,2.2219580030000006,3.776902250945568
throughput_drop_B25,17,warehouse_small_narrow_kiva,recurrent,989,1.6483333333333334,1,8,8,0,0.016815459,2.3395326720000007,3.9262563437223434
uniform,17,warehouse_small_narrow_kiva,recurrent,556,0.9266666666666666,0,0,0,0,0.0,2.029608049,7.321947876363993
always,17,warehouse_small_narrow_kiva,stationary,1019,1.6983333333333333,1,29,29,0,0.05136594700000001,2.1669550050000006,4.187041185796261
bootstrap_only,17,warehouse_small_narrow_kiva,stationary,1038,1.73,1,0,0,0,0.002371492,2.1963573140000006,6.09916403144598
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,990,1.65,1,8,8,0,0.015665124,2.18093138,3.7551534734666348
js_B25,17,warehouse_small_narrow_kiva,stationary,1038,1.73,1,8,8,0,0.015815806999999998,2.230203285,3.776245191693306
period_80,17,warehouse_small_narrow_kiva,stationary,1015,1.6916666666666667,1,7,7,0,0.014152298,2.2018661390000003,3.744702570140362
proposed_cohort_B25,17,warehouse_small_narrow_kiva,stationary,985,1.6416666666666666,1,8,8,0,0.015442713,2.2168073460000004,3.7963908314704895
proposed_no_cohort_B25,17,warehouse_small_narrow_kiva,stationary,997,1.6616666666666666,1,8,8,0,0.015801599,2.160398572,3.7094708047807217
random_B25,17,warehouse_small_narrow_kiva,stationary,1019,1.6983333333333333,1,8,8,0,0.017159832,2.3137455859999996,3.928587604314089
throughput_drop_B25,17,warehouse_small_narrow_kiva,stationary,1023,1.705,1,8,8,0,0.014731433999999998,2.2048361020000002,3.761480327695608
uniform,17,warehouse_small_narrow_kiva,stationary,600,1.0,0,0,0,0,0.0,2.0126859870000002,3.4905520528554916
