method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,17,warehouse_small_narrow_kiva,abrupt,1278,2.13,1,0,0,0,0.001628889,2.315169113,3.685578003525734
causal_block_B25,17,warehouse_small_narrow_kiva,abrupt,1117,1.8616666666666666,1,8,8,0,0.021042209,2.4053411740000006,7.79916612803936
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,1194,1.99,1,8,8,0,0.015746194,2.327545887,3.8636034913361073
js_B25,17,warehouse_small_narrow_kiva,abrupt,1295,2.158333333333333,1,8,8,0,0.015610206,2.3441860520000004,3.9009266905486584
js_cap_B25,17,warehouse_small_narrow_kiva,abrupt,1341,2.235,1,5,8,0,0.010882771999999999,2.3652974039999997,3.8770533576607704
proposed_no_cohort_B25,17,warehouse_small_narrow_kiva,abrupt,1239,2.065,1,8,8,0,0.016049782,2.3358529340000005,3.91210500895977
bootstrap_only,17,warehouse_small_narrow_kiva,recurrent,1185,1.975,1,0,0,0,0.001729531,2.2655247810000003,3.6105376705527306
causal_block_B25,17,warehouse_small_narrow_kiva,recurrent,1013,1.6883333333333332,1,8,8,0,0.01557951,2.228373465,3.7705885134637356
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,1029,1.715,1,8,8,0,0.015680124,2.2094279240000003,3.771198019385338
js_B25,17,warehouse_small_narrow_kiva,recurrent,1128,1.88,1,8,8,0,0.014822164999999998,2.276586272,3.818693995475769
js_cap_B25,17,warehouse_small_narrow_kiva,recurrent,1126,1.8766666666666667,1,5,8,0,0.013777397,2.3302170739999997,7.631502140313387
proposed_no_cohort_B25,17,warehouse_small_narrow_kiva,recurrent,1064,1.7733333333333334,1,8,8,0,0.015117318,2.2475943970000003,3.832136459648609
bootstrap_only,17,warehouse_small_narrow_kiva,stationary,1038,1.73,1,0,0,0,0.002693793,2.316395218,6.317066956311464
causal_block_B25,17,warehouse_small_narrow_kiva,stationary,1023,1.705,1,8,8,0,0.016471482,2.2468718680000004,3.852246005088091
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,990,1.65,1,8,8,0,0.016096104,2.242582858,3.86330534145236
js_B25,17,warehouse_small_narrow_kiva,stationary,1038,1.73,1,8,8,0,0.01603966,2.257185545,3.8673539645969868
js_cap_B25,17,warehouse_small_narrow_kiva,stationary,1075,1.7916666666666667,1,4,8,0,0.008730034,2.2558814369999998,3.74440511316061
proposed_no_cohort_B25,17,warehouse_small_narrow_kiva,stationary,997,1.6616666666666666,1,8,8,0,0.016543921,2.243330243,3.847105622291565
