scenario,map_id,map_sha256,agents,root_seed,workload,method,num_task_finished,throughput_per_timestep,generator_calls,post_bootstrap_generation_count,post_bootstrap_reactivation_count,post_bootstrap_publication_count,effective_guidance_switch_count,safety_passed,invariants_passed,task_tape_manifest_sha256,release_projection_fingerprint,reset_causal_fingerprint,pairing_fingerprint
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,bootstrap_only,3962,1.981,1,0,0,0,0,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,exact_even_G4,3933,1.9665,5,4,0,4,4,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,exact_even_G5,3938,1.969,6,5,0,5,5,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,random_G5,3911,1.9555,6,5,0,5,5,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,js_cap_G5,3739,1.8695,6,5,0,5,5,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,context_no_reactivation_B25,3964,1.982,10,9,0,9,9,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,context_memory_B25,3906,1.953,4,3,7,10,10,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,stationary,exact_even_B25,3871,1.9355,26,25,0,25,25,true,true,b725ffa23e0241b298677282e97c441df515f29fee943f5cdfd3f407732a37d1,4b41c230bcb0bced8f2477d025989284a690679123d6b638bd44e55be1b7a108,d0bc58bc3d58405817fb3eda983c28232a5fc0722aafa3777de0880d3e4a0448,be324f927408e857fe39c2ec090a898bdc571326de959e9acc7292163fe274e3
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,abrupt,bootstrap_only,3809,1.9045,1,0,0,0,0,true,true,93da8454af1457083d3c3c457816ef95c4a62ff457e760bdbf0a8bc12da8b013,98e53a4da0bc714cce18fd37fc48c83962bbf689050c80350e21d1780dafc028,0937b8fee18be6c484f820fa97938d13b853de3c3e7d8f00dad147b0c19daa6e,3a70a1cc7dcdadfd398856301898eb2f9a5ae0ab93893d10adba8080db73dec8
narrow_r020,warehouse_small_narrow_kiva,866e664553959fb44af359276885e2e72192eaf36fd0f4abde3726474703cbb6,218,880565,abrupt,exact_even_G4,3622,1.811,5,4,0,4,4,true,true,93da8454af1457083d3c3c457816ef95c4a62ff457e760bdbf0a8bc12da8b013,98e53a4da0bc714cce18fd37fc48c83962bbf689050c80350e21d1780dafc028,0937b8fee18be6c484f820fa97938d13b853de3c3e7d8f00dad147b0c19daa6e,3a70a1cc7dcdadfd398856301898eb2f9a5ae0ab93893d10adba8080db73dec8
