method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,113743,warehouse_small_narrow_kiva,abrupt,3716,1.858,1,0,0,0,0.004782421,50.102501986000014,103.67644534699502
context_memory_B25,113743,warehouse_small_narrow_kiva,abrupt,3864,1.932,1,9,25,0,0.099819464,51.86209812000003,105.4068176879955
context_no_reactivation_B25,113743,warehouse_small_narrow_kiva,abrupt,3910,1.955,1,11,25,0,0.044477490999999994,49.76590717799999,106.59072276999359
exact_even_B25,113743,warehouse_small_narrow_kiva,abrupt,3863,1.9315,1,25,25,0,0.31855372199999993,52.26733294100003,112.19719393301057
exact_even_G4,113743,warehouse_small_narrow_kiva,abrupt,3678,1.839,1,4,4,0,0.089170258,52.881012590000005,102.88584604699281
exact_even_G5,113743,warehouse_small_narrow_kiva,abrupt,3876,1.938,1,5,5,0,0.09084199899999999,53.17030608900001,104.31113298999844
js_cap_G5,113743,warehouse_small_narrow_kiva,abrupt,3782,1.891,1,5,5,0,0.09760669799999999,49.785536692,105.29612177901436
random_G5,113743,warehouse_small_narrow_kiva,abrupt,3882,1.941,1,5,5,0,0.08989489,53.27669752899997,106.41943248800817
bootstrap_only,113743,warehouse_small_narrow_kiva,recurrent,3595,1.7975,1,0,0,0,0.004935405,46.290115793000005,95.28101626201533
context_memory_B25,113743,warehouse_small_narrow_kiva,recurrent,3842,1.921,1,8,25,0,0.091404106,46.40050450700001,105.60460792199592
context_no_reactivation_B25,113743,warehouse_small_narrow_kiva,recurrent,3909,1.9545,1,7,25,0,0.179442985,47.06393912200001,103.20213910698658
exact_even_B25,113743,warehouse_small_narrow_kiva,recurrent,3936,1.968,1,25,25,0,0.309374016,47.991219748999995,109.59802207298344
exact_even_G4,113743,warehouse_small_narrow_kiva,recurrent,3613,1.8065,1,4,4,0,0.09017229400000001,48.08229036699998,103.2050940170011
