method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,113743,warehouse_small_kiva,abrupt,4551,2.2755,1,0,0,0,0.003693892,53.46122531299999,98.18121184001211
context_memory_B25,113743,warehouse_small_kiva,abrupt,4624,2.312,1,9,25,0,0.1695846,53.80876619799999,108.09419456199976
context_no_reactivation_B25,113743,warehouse_small_kiva,abrupt,4589,2.2945,1,8,25,0,0.16681249599999998,52.61490277700002,103.40598427099758
exact_even_B25,113743,warehouse_small_kiva,abrupt,4600,2.3,1,25,25,0,0.294315514,56.02419922200001,107.31363690199214
exact_even_G4,113743,warehouse_small_kiva,abrupt,4574,2.287,1,4,4,0,0.088971171,53.41575892199999,104.59112887800438
exact_even_G5,113743,warehouse_small_kiva,abrupt,4603,2.3015,1,5,5,0,0.09648548299999998,55.40392181000006,101.07267144302023
js_cap_G5,113743,warehouse_small_kiva,abrupt,4504,2.252,1,5,5,0,0.08747015400000001,52.286994888,102.69737408400397
random_G5,113743,warehouse_small_kiva,abrupt,4594,2.297,1,5,5,0,0.16189485599999998,53.76193866099998,96.47804403700866
bootstrap_only,113743,warehouse_small_kiva,recurrent,4415,2.2075,1,0,0,0,0.072604256,55.046334650999995,103.2149057709903
context_memory_B25,113743,warehouse_small_kiva,recurrent,4622,2.311,1,7,25,0,0.096401693,56.29280841400003,107.8027036699932
context_no_reactivation_B25,113743,warehouse_small_kiva,recurrent,4604,2.302,1,8,25,0,0.10554714400000001,57.474422248999986,110.80198430799646
exact_even_B25,113743,warehouse_small_kiva,recurrent,4642,2.321,1,25,25,0,0.583484309,55.65654342100001,106.21052677900298
exact_even_G4,113743,warehouse_small_kiva,recurrent,4465,2.2325,1,4,4,0,0.09949720100000001,55.40980636400001,106.09526483400259
exact_even_G5,113743,warehouse_small_kiva,recurrent,4598,2.299,1,5,5,0,0.027995977,54.51948391300001,107.78259922997677
js_cap_G5,113743,warehouse_small_kiva,recurrent,4485,2.2425,1,5,5,0,0.023363707,58.30434671900001,109.62260871997569
random_G5,113743,warehouse_small_kiva,recurrent,4573,2.2865,1,5,5,0,0.108621129,56.651670087,106.10858157998882
bootstrap_only,113743,warehouse_small_kiva,stationary,4236,2.118,1,0,0,0,0.003743455,55.61234679800001,88.78780704899691
context_memory_B25,113743,warehouse_small_kiva,stationary,4600,2.3,1,9,25,0,0.013243636,50.729518860999995,85.37922296399483
context_no_reactivation_B25,113743,warehouse_small_kiva,stationary,4599,2.2995,1,7,25,0,0.141678515,50.049344942000005,85.193896768993
exact_even_B25,113743,warehouse_small_kiva,stationary,4630,2.315,1,25,25,0,0.36080256600000005,55.45214402299998,95.33436793700093
