method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,17,warehouse_small_narrow_kiva,abrupt,3476,1.738,1,0,0,0,0.002412122,5.523352212000002,12.235761977732182
context_memory_B25,17,warehouse_small_narrow_kiva,abrupt,3817,1.9085,1,8,25,0,0.019588341999999998,5.434227748,12.821440801024437
context_no_reactivation_B25,17,warehouse_small_narrow_kiva,abrupt,3902,1.951,1,8,25,0,0.038334725,5.793908195000001,13.053634386509657
exact_even_B25,17,warehouse_small_narrow_kiva,abrupt,3912,1.956,1,25,25,0,0.06434131299999998,5.7903693259999995,13.81168145313859
exact_even_G4,17,warehouse_small_narrow_kiva,abrupt,3603,1.8015,1,4,4,0,0.013210340000000001,5.486473451999998,12.450648736208677
exact_even_G5,17,warehouse_small_narrow_kiva,abrupt,3808,1.904,1,5,5,0,0.015793295,5.561382435999999,13.381039958447218
js_cap_G5,17,warehouse_small_narrow_kiva,abrupt,3802,1.901,1,5,5,0,0.01468404,5.245463070999999,11.747045565396547
random_G5,17,warehouse_small_narrow_kiva,abrupt,3783,1.8915,1,5,5,0,0.013606545,5.151602147999999,11.514730747789145
bootstrap_only,17,warehouse_small_narrow_kiva,recurrent,3646,1.823,1,0,0,0,0.002723044,5.306402715000001,12.09305663779378
context_memory_B25,17,warehouse_small_narrow_kiva,recurrent,3897,1.9485,1,12,25,0,0.012457976,5.443235608999997,12.882976915687323
context_no_reactivation_B25,17,warehouse_small_narrow_kiva,recurrent,3899,1.9495,1,10,25,0,0.02786537,5.494884548999998,13.098886352032423
exact_even_B25,17,warehouse_small_narrow_kiva,recurrent,3871,1.9355,1,25,25,0,0.060705129,5.162394848,12.997184738516808
exact_even_G4,17,warehouse_small_narrow_kiva,recurrent,3651,1.8255,1,4,4,0,0.012522618,5.641168697000001,12.561099164187908
exact_even_G5,17,warehouse_small_narrow_kiva,recurrent,3834,1.917,1,5,5,0,0.014748547,5.872650838999999,13.30478698015213
js_cap_G5,17,warehouse_small_narrow_kiva,recurrent,3639,1.8195,1,5,5,0,0.014478913,5.415786214,12.294636599719524
random_G5,17,warehouse_small_narrow_kiva,recurrent,3809,1.9045,1,5,5,0,0.013961913,5.22151106,12.329922210425138
bootstrap_only,17,warehouse_small_narrow_kiva,stationary,3851,1.9255,1,0,0,0,0.002670016,5.215950431000001,10.616730857640505
context_memory_B25,17,warehouse_small_narrow_kiva,stationary,3830,1.915,1,9,25,0,0.012645059,5.552819458,11.531505774706602
context_no_reactivation_B25,17,warehouse_small_narrow_kiva,stationary,3769,1.8845,1,6,25,0,0.017198293000000003,5.340163740000001,11.27405659854412
exact_even_B25,17,warehouse_small_narrow_kiva,stationary,3781,1.8905,1,25,25,0,0.06158199200000001,5.351541086,11.233140964061022
exact_even_G4,17,warehouse_small_narrow_kiva,stationary,3863,1.9315,1,4,4,0,0.012212381999999999,5.200905513000001,11.370008949190378
exact_even_G5,17,warehouse_small_narrow_kiva,stationary,3751,1.8755,1,5,5,0,0.014113702000000002,5.7713864369999985,11.673311345279217
js_cap_G5,17,warehouse_small_narrow_kiva,stationary,3718,1.859,1,5,5,0,0.015164821000000002,5.258888035999999,11.292897839099169
random_G5,17,warehouse_small_narrow_kiva,stationary,3736,1.868,1,5,5,0,0.014439303999999998,5.5881937950000005,11.533975142985582
