method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
bootstrap_only,17,warehouse_small_kiva,abrupt,5924,2.962,1,0,0,0,0.00255239,9.437279517,17.465705893933773
context_memory_B25,17,warehouse_small_kiva,abrupt,5852,2.926,1,5,25,0,0.012954423,9.643455956999997,17.80386747047305
context_no_reactivation_B25,17,warehouse_small_kiva,abrupt,5852,2.926,1,5,25,0,0.013235803,9.365999391999999,17.341980807483196
exact_even_B25,17,warehouse_small_kiva,abrupt,5714,2.857,1,25,25,0,0.058084483,9.475638472,18.33018260076642
exact_even_G4,17,warehouse_small_kiva,abrupt,5835,2.9175,1,4,4,0,0.012094868000000002,9.389442507000004,17.233306627720594
exact_even_G5,17,warehouse_small_kiva,abrupt,5654,2.827,1,5,5,0,0.015037683999999999,10.149323466000002,17.81907718256116
js_cap_G5,17,warehouse_small_kiva,abrupt,5013,2.5065,1,5,5,0,0.014141309,9.445072392999997,18.20365320518613
random_G5,17,warehouse_small_kiva,abrupt,6014,3.007,1,5,5,0,0.013986106,9.050122367999998,16.717761240899563
bootstrap_only,17,warehouse_small_kiva,recurrent,5533,2.7665,1,0,0,0,0.002297666,9.442897032000003,17.27501168474555
context_memory_B25,17,warehouse_small_kiva,recurrent,5765,2.8825,1,5,25,0,0.011709356,9.429706403,17.508543878793716
context_no_reactivation_B25,17,warehouse_small_kiva,recurrent,5769,2.8845,1,4,25,0,0.011363301000000001,9.911834960000002,18.559016540646553
exact_even_B25,17,warehouse_small_kiva,recurrent,6238,3.119,1,25,25,0,0.055971973000000015,9.567406206,18.188222907483578
exact_even_G4,17,warehouse_small_kiva,recurrent,5515,2.7575,1,4,4,0,0.011621402999999999,9.360462084,18.42097483202815
exact_even_G5,17,warehouse_small_kiva,recurrent,6144,3.072,1,5,5,0,0.014197163,9.511380462000004,17.426735889166594
js_cap_G5,17,warehouse_small_kiva,recurrent,5143,2.5715,1,5,5,0,0.014356651,9.383010557999997,17.280573580414057
random_G5,17,warehouse_small_kiva,recurrent,5707,2.8535,1,5,5,0,0.012561792,9.643443448000001,17.437351673841476
bootstrap_only,17,warehouse_small_kiva,stationary,3976,1.988,1,0,0,0,0.002457913,9.362914741000004,14.904948525130749
context_memory_B25,17,warehouse_small_kiva,stationary,4070,2.035,1,3,25,0,0.008558327000000001,9.227275526000003,15.082031194120646
context_no_reactivation_B25,17,warehouse_small_kiva,stationary,4070,2.035,1,3,25,0,0.008409181,8.600468036999999,14.750751089304686
exact_even_B25,17,warehouse_small_kiva,stationary,4108,2.054,1,25,25,0,0.053900637,8.655456072,14.916092440485954
exact_even_G4,17,warehouse_small_kiva,stationary,4302,2.151,1,4,4,0,0.009920041000000001,8.618974708999996,14.594789948314428
exact_even_G5,17,warehouse_small_kiva,stationary,4277,2.1385,1,5,5,0,0.014802559000000002,9.009345799000002,16.411531750112772
js_cap_G5,17,warehouse_small_kiva,stationary,3902,1.951,1,5,5,0,0.012746934,8.863833382000001,14.590202454477549
random_G5,17,warehouse_small_kiva,stationary,3841,1.9205,1,5,5,0,0.013305929,8.754670115999998,15.42065753787756
