method,map_id,workload,n_agents,n_runs,throughput_mean,throughput_std,wait_rate_mean,refresh_rate_mean,wall_time_seconds_mean,refresh_seconds_mean,budget_violation_rate,deadlock_rate,collision_count
always_refresh,two_corridor,abrupt,24,3,0.568,0.06101365967278694,0.076,1.0,0.15374822200000002,0.11326713733333332,0.0,0.0,0
always_refresh,two_corridor,recurring,24,3,0.5946666666666667,0.07165348716023677,0.07494444444444444,1.0,0.15335338866666667,0.11280643,0.0,0.0,0
always_refresh,two_corridor,static,24,3,0.584,0.039597979746446646,0.06983333333333334,1.0,0.15500784733333334,0.11497051399999998,0.0,0.0,0
always_reuse,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.02,0.030569111333333333,0.0025256393333333333,0.0,0.0,0
always_reuse,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.02,0.032629514,0.002524472,0.0,0.0,0
always_reuse,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.02,0.027867013666666666,0.002673958,0.0,0.0,0
betg_10,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.048694500333333335,0.011177681333333333,0.0,0.0,0
betg_10,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04889840266666667,0.011674042,0.0,0.0,0
betg_10,two_corridor,static,24,3,0.3626666666666667,0.043492017147466894,0.14188888888888887,0.10000000000000002,0.04814086133333333,0.011673277666666667,0.0,0.0,0
betg_25,two_corridor,abrupt,24,3,0.35600000000000004,0.013063945294843605,0.10072222222222223,0.25333333333333335,0.06590337533333333,0.028504819666666664,0.0,0.0,0
betg_25,two_corridor,recurring,24,3,0.38266666666666665,0.044582009326134625,0.09849999999999999,0.26,0.06749805566666667,0.029319150333333335,0.0,0.0,0
betg_25,two_corridor,static,24,3,0.4026666666666667,0.0774481905677739,0.10333333333333333,0.25333333333333335,0.06525802766666666,0.027825153000000002,0.0,0.0,0
drift_10,two_corridor,abrupt,24,3,0.26133333333333336,0.04945929864264374,0.15611111111111112,0.10000000000000002,0.041334499999999996,0.011926110666666665,0.0,0.0,0
drift_10,two_corridor,recurring,24,3,0.2733333333333334,0.013597385369580746,0.14872222222222223,0.10000000000000002,0.042550375333333335,0.011879221666666667,0.0,0.0,0
drift_10,two_corridor,static,24,3,0.30666666666666664,0.05389702115042064,0.15761111111111112,0.09333333333333334,0.04074244433333333,0.010831958333333334,0.0,0.0,0
drift_25,two_corridor,abrupt,24,3,0.4346666666666667,0.07563655788630845,0.10933333333333334,0.25333333333333335,0.06364016633333333,0.028242236,0.0,0.0,0
drift_25,two_corridor,recurring,24,3,0.35600000000000004,0.03973243846867022,0.11199999999999999,0.26,0.063139236,0.029767346666666666,0.0,0.0,0
drift_25,two_corridor,static,24,3,0.3866666666666667,0.039372861493955726,0.11755555555555557,0.2333333333333333,0.05902788866666667,0.02601441666666667,0.0,0.0,0
periodic_20,two_corridor,abrupt,24,3,0.336,0.021416504538945346,0.09666666666666666,0.26,0.063888667,0.029708430666666664,0.0,0.0,0
periodic_20,two_corridor,recurring,24,3,0.36400000000000005,0.03973243846867022,0.09522222222222222,0.26,0.06341226366666666,0.02942487566666667,0.0,0.0,0
periodic_20,two_corridor,static,24,3,0.332,0.0097979589711327,0.0941111111111111,0.26,0.060425291666666665,0.02912000133333333,0.0,0.0,0
periodic_50,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.04420465266666667,0.011131791666666668,0.0,0.0,0
periodic_50,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04437968066666667,0.011557749333333334,0.0,0.0,0
periodic_50,two_corridor,static,24,3,0.3586666666666667,0.04691363222869114,0.14066666666666666,0.10000000000000002,0.043008486000000005,0.011177735333333334,0.0,0.0,0
shortest,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.020270833666666665,0.0,0.0,0.0,0
shortest,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.020682569,0.0,0.0,0.0,0
shortest,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.018993375,0.0,0.0,0.0,0
