method,map_id,workload,n_agents,n_runs,throughput_mean,throughput_std,wait_rate_mean,refresh_rate_mean,wall_time_seconds_mean,refresh_seconds_mean,budget_violation_rate,deadlock_rate,collision_count
always_refresh,two_corridor,abrupt,24,3,0.568,0.06101365967278694,0.076,1.0,0.15387022233333333,0.11321042966666667,0.0,0.0,0
always_refresh,two_corridor,recurring,24,3,0.5946666666666667,0.07165348716023677,0.07494444444444444,1.0,0.15278370900000002,0.11240539099999998,0.0,0.0,0
always_refresh,two_corridor,static,24,3,0.584,0.039597979746446646,0.06983333333333334,1.0,0.15862168066666668,0.11759612233333334,0.0,0.0,0
always_reuse,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.02,0.030375583,0.002483806,0.0,0.0,0
always_reuse,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.02,0.032581569666666664,0.002490472,0.0,0.0,0
always_reuse,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.02,0.02754316633333333,0.0024676526666666666,0.0,0.0,0
betg_10,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.048585389,0.011125972333333333,0.0,0.0,0
betg_10,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04856661166666667,0.011604832666666667,0.0,0.0,0
betg_10,two_corridor,static,24,3,0.3626666666666667,0.043492017147466894,0.14188888888888887,0.10000000000000002,0.046577486333333334,0.011175472333333334,0.0,0.0,0
betg_25,two_corridor,abrupt,24,3,0.35600000000000004,0.013063945294843605,0.10072222222222223,0.25333333333333335,0.06585662466666665,0.028506500000000004,0.0,0.0,0
betg_25,two_corridor,recurring,24,3,0.38266666666666665,0.044582009326134625,0.09849999999999999,0.26,0.06755436100000001,0.02928415333333333,0.0,0.0,0
betg_25,two_corridor,static,24,3,0.4026666666666667,0.0774481905677739,0.10333333333333333,0.25333333333333335,0.065081597,0.027683736333333334,0.0,0.0,0
drift_10,two_corridor,abrupt,24,3,0.26133333333333336,0.04945929864264374,0.15611111111111112,0.10000000000000002,0.04113319466666667,0.011808139666666667,0.0,0.0,0
drift_10,two_corridor,recurring,24,3,0.2733333333333334,0.013597385369580746,0.14872222222222223,0.10000000000000002,0.04243315266666667,0.011912416666666667,0.0,0.0,0
drift_10,two_corridor,static,24,3,0.30666666666666664,0.05389702115042064,0.15761111111111112,0.09333333333333334,0.04061045833333333,0.010702306333333333,0.0,0.0,0
drift_25,two_corridor,abrupt,24,3,0.4346666666666667,0.07563655788630845,0.10933333333333334,0.25333333333333335,0.063131972,0.028066083000000002,0.0,0.0,0
drift_25,two_corridor,recurring,24,3,0.35600000000000004,0.03973243846867022,0.11199999999999999,0.26,0.06299748633333334,0.029687848,0.0,0.0,0
drift_25,two_corridor,static,24,3,0.3866666666666667,0.039372861493955726,0.11755555555555557,0.2333333333333333,0.05877570866666667,0.02596739033333333,0.0,0.0,0
periodic_20,two_corridor,abrupt,24,3,0.336,0.021416504538945346,0.09666666666666666,0.26,0.06358283333333332,0.029506972333333336,0.0,0.0,0
periodic_20,two_corridor,recurring,24,3,0.36400000000000005,0.03973243846867022,0.09522222222222222,0.26,0.06321487533333334,0.029350611333333332,0.0,0.0,0
periodic_20,two_corridor,static,24,3,0.332,0.0097979589711327,0.0941111111111111,0.26,0.06251026433333333,0.02982522233333333,0.0,0.0,0
periodic_50,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.044028360999999995,0.011069402666666667,0.0,0.0,0
periodic_50,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.044298818999999996,0.011640860000000001,0.0,0.0,0
periodic_50,two_corridor,static,24,3,0.3586666666666667,0.04691363222869114,0.14066666666666666,0.10000000000000002,0.042415903,0.011271861333333332,0.0,0.0,0
shortest,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.020070541666666667,0.0,0.0,0.0,0
shortest,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.020511681,0.0,0.0,0.0,0
shortest,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.018770999666666666,0.0,0.0,0.0,0
