method,map_id,workload,n_agents,n_runs,throughput_mean,throughput_std,wait_rate_mean,refresh_rate_mean,wall_time_seconds_mean,refresh_seconds_mean,budget_violation_rate,deadlock_rate,collision_count
always_refresh,two_corridor,abrupt,24,3,0.568,0.06101365967278694,0.076,1.0,0.15355911133333333,0.11277757100000001,0.0,0.0,0
always_refresh,two_corridor,recurring,24,3,0.5946666666666667,0.07165348716023677,0.07494444444444444,1.0,0.15582322233333334,0.11365926333333333,0.0,0.0,0
always_refresh,two_corridor,static,24,3,0.584,0.039597979746446646,0.06983333333333334,1.0,0.1568551943333333,0.115907055,0.0,0.0,0
always_reuse,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.028202097333333332,0.0,0.0,0.0,0
always_reuse,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.030367541999999997,0.0,0.0,0.0,0
always_reuse,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.026448639,0.0,0.0,0.0,0
betg_10,two_corridor,abrupt,24,3,0.26399999999999996,0.08560373823613078,0.15266666666666664,0.06666666666666667,0.073018972,0.008020653,1.0,0.0,0
betg_10,two_corridor,recurring,24,3,0.316,0.1098847881495281,0.14705555555555558,0.06666666666666667,0.07538269433333333,0.008221194666666667,1.0,0.0,0
betg_10,two_corridor,static,24,3,0.268,0.04092269134192749,0.14866666666666667,0.06666666666666667,0.07509311133333334,0.008711708,1.0,0.0,0
betg_25,two_corridor,abrupt,24,3,0.328,0.025922962793631446,0.14044444444444446,0.07333333333333333,0.07636274966666667,0.008541208666666666,1.0,0.0,0
betg_25,two_corridor,recurring,24,3,0.36000000000000004,0.08242976808572658,0.13883333333333334,0.06666666666666667,0.07839620833333333,0.008114083666666666,1.0,0.0,0
betg_25,two_corridor,static,24,3,0.29733333333333334,0.06485539470408165,0.13922222222222222,0.08666666666666667,0.07664672233333333,0.010181444,1.0,0.0,0
drift_10,two_corridor,abrupt,24,3,0.336,0.022627416997969513,0.13999999999999999,0.12,0.04588363866666667,0.013951499666666667,0.0,0.0,0
drift_10,two_corridor,recurring,24,3,0.31466666666666665,0.046226495528959244,0.13644444444444445,0.12,0.04715619466666667,0.014154958333333334,0.0,0.0,0
drift_10,two_corridor,static,24,3,0.34,0.046303347611160894,0.14044444444444446,0.11333333333333333,0.04444144433333333,0.012885014666666667,0.0,0.0,0
drift_25,two_corridor,abrupt,24,3,0.39200000000000007,0.052561075585138735,0.11155555555555556,0.25333333333333335,0.063011792,0.028301333666666668,0.0,0.0,0
drift_25,two_corridor,recurring,24,3,0.34800000000000003,0.045723808531952646,0.10627777777777776,0.26,0.06411475033333333,0.030129708000000005,0.0,0.0,0
drift_25,two_corridor,static,24,3,0.40399999999999997,0.06101365967278692,0.11455555555555556,0.24,0.060010292,0.026629263999999996,0.0,0.0,0
periodic_20,two_corridor,abrupt,24,3,0.336,0.021416504538945346,0.09666666666666666,0.26,0.06436551366666667,0.02967545766666667,0.0,0.0,0
periodic_20,two_corridor,recurring,24,3,0.36400000000000005,0.03973243846867022,0.09522222222222222,0.26,0.063850111,0.029433164999999997,0.0,0.0,0
periodic_20,two_corridor,static,24,3,0.332,0.0097979589711327,0.0941111111111111,0.26,0.060940972333333336,0.02948080633333333,0.0,0.0,0
periodic_50,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.04466205533333334,0.011213013666666667,0.0,0.0,0
periodic_50,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04478584766666666,0.011704027999999998,0.0,0.0,0
periodic_50,two_corridor,static,24,3,0.3586666666666667,0.04691363222869114,0.14066666666666666,0.10000000000000002,0.042903624333333334,0.011248694999999998,0.0,0.0,0
shortest,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.020380236333333333,0.0,0.0,0.0,0
shortest,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.02108813866666667,0.0,0.0,0.0,0
shortest,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.018719944666666665,0.0,0.0,0.0,0
