method,map_id,workload,n_agents,n_runs,throughput_mean,throughput_std,wait_rate_mean,refresh_rate_mean,wall_time_seconds_mean,refresh_seconds_mean,budget_violation_rate,deadlock_rate,collision_count
always_refresh,two_corridor,abrupt,24,3,0.568,0.06101365967278694,0.076,1.0,0.15764406933333333,0.11547259633333334,0.0,0.0,0
always_refresh,two_corridor,recurring,24,3,0.5946666666666667,0.07165348716023677,0.07494444444444444,1.0,0.15736168033333334,0.11479551533333336,0.0,0.0,0
always_refresh,two_corridor,static,24,3,0.584,0.039597979746446646,0.06983333333333334,1.0,0.15960355566666665,0.117801012,0.0,0.0,0
always_reuse,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.02,0.03120159733333333,0.0025449586666666667,0.0,0.0,0
always_reuse,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.02,0.033586332999999996,0.002586180333333333,0.0,0.0,0
always_reuse,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.02,0.032391861,0.0025000136666666665,0.0,0.0,0
betg_10,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.08288152733333333,0.011309694666666667,0.0,0.0,0
betg_10,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.08311124966666666,0.011871667,0.3333333333333333,0.0,0
betg_10,two_corridor,static,24,3,0.3106666666666667,0.03034615113797611,0.1415,0.10000000000000002,0.08380220833333334,0.012731556333333333,0.3333333333333333,0.0,0
betg_25,two_corridor,abrupt,24,3,0.35333333333333333,0.01885618083164126,0.10288888888888888,0.25333333333333335,0.10293404166666666,0.029059221666666666,0.0,0.0,0
betg_25,two_corridor,recurring,24,3,0.38133333333333336,0.0438583578757294,0.09944444444444445,0.26,0.10505569433333334,0.029814056333333335,0.0,0.0,0
betg_25,two_corridor,static,24,3,0.3706666666666667,0.06318930992572153,0.10388888888888888,0.22666666666666666,0.09902862466666666,0.025828013666666667,0.0,0.0,0
drift_10,two_corridor,abrupt,24,3,0.26133333333333336,0.04945929864264374,0.15611111111111112,0.10000000000000002,0.041828000000000004,0.012042486333333333,0.0,0.0,0
drift_10,two_corridor,recurring,24,3,0.2733333333333334,0.013597385369580746,0.14872222222222223,0.10000000000000002,0.04367495866666667,0.012059499333333333,0.0,0.0,0
drift_10,two_corridor,static,24,3,0.30666666666666664,0.05389702115042064,0.15761111111111112,0.09333333333333334,0.04174381933333334,0.010871125333333334,0.0,0.0,0
drift_25,two_corridor,abrupt,24,3,0.4346666666666667,0.07563655788630845,0.10933333333333334,0.25333333333333335,0.06516295833333334,0.028918721999999997,0.0,0.0,0
drift_25,two_corridor,recurring,24,3,0.35600000000000004,0.03973243846867022,0.11199999999999999,0.26,0.06471950033333333,0.03040331866666667,0.0,0.0,0
drift_25,two_corridor,static,24,3,0.3866666666666667,0.039372861493955726,0.11755555555555557,0.2333333333333333,0.060488138999999996,0.026604569333333338,0.0,0.0,0
periodic_20,two_corridor,abrupt,24,3,0.336,0.021416504538945346,0.09666666666666666,0.26,0.06552631933333333,0.030269943666666663,0.0,0.0,0
periodic_20,two_corridor,recurring,24,3,0.36400000000000005,0.03973243846867022,0.09522222222222222,0.26,0.065151903,0.030109778000000004,0.0,0.0,0
periodic_20,two_corridor,static,24,3,0.332,0.0097979589711327,0.0941111111111111,0.26,0.062258652666666664,0.029738958666666666,0.0,0.0,0
periodic_50,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.045334138999999996,0.011346069333333333,0.0,0.0,0
periodic_50,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.045711139000000005,0.011907139333333332,0.0,0.0,0
periodic_50,two_corridor,static,24,3,0.3586666666666667,0.04691363222869114,0.14066666666666666,0.10000000000000002,0.04353754166666666,0.011423181,0.0,0.0,0
shortest,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.020828652333333333,0.0,0.0,0.0,0
shortest,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.021078125333333336,0.0,0.0,0.0,0
shortest,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.019162347333333333,0.0,0.0,0.0,0
